Date,SBC_Delay,weather_code_SBC,Temperature_SBC,Wind_Speed_SBC,Distance_travelled_SBC,MWM_Delay,weather_code_MWM,Temperature_MWM,Wind_Speed_MWM,Distance_travelled_MWM,YPR_Delay,weather_code_YPR,Temperature_YPR,Wind_Speed_YPR,Distance_travelled_YPR,BAW_Delay,weather_code_BAW,Temperature_BAW,Wind_Speed_BAW,Distance_travelled_BAW,SDVL_Delay,weather_code_SDVL,Temperature_SDVL,Wind_Speed_SDVL,Distance_travelled_SDVL,GHL_Delay,weather_code_GHL,Temperature_GHL,Wind_Speed_GHL,Distance_travelled_GHL,BNKH_Delay,weather_code_BNKH,Temperature_BNKH,Wind_Speed_BNKH,Distance_travelled_BNKH,DBL_Delay,weather_code_DBL,Temperature_DBL,Wind_Speed_DBL,Distance_travelled_DBL,MDLL_Delay,weather_code_MDLL,Temperature_MDLL,Wind_Speed_MDLL,Distance_travelled_MDLL,NDV_Delay,weather_code_NDV,Temperature_NDV,Wind_Speed_NDV,Distance_travelled_NDV,DBS_Delay,weather_code_DBS,Temperature_DBS,Wind_Speed_DBS,Distance_travelled_DBS,HHL_Delay,weather_code_HHL,Temperature_HHL,Wind_Speed_HHL,Distance_travelled_HHL,KIAT_Delay,weather_code_KIAT,Temperature_KIAT,Wind_Speed_KIAT,Distance_travelled_KIAT,TK_Delay,weather_code_TK,Temperature_TK,Wind_Speed_TK,Distance_travelled_TK
23/12/23,1,3.0,20.496334,13.849476,,0,3.0,20.392332,13.849476,,6,3.0,20.225166,13.363711,,7,3.0,20.554585,13.084402,,0,3.0,20.416086,12.864649,,7,3.0,20.168497,12.682018,,7.0,3.0,20.276834,12.682018,,4.0,3.0,20.245668,13.084402,,0.0,3.0,20.248747,13.039754,,2.0,3.0,20.196749,13.039754,,0.0,3.0,20.183752,13.039754,,2.0,3.0,20.598083,14.05845,,0.0,3.0,20.794666,13.849476,,-15.0,3.0,21.1155,14.578888,
24/12/23,2,3.0,21.471334,17.873554,,0,3.0,21.367332,17.873554,,3,3.0,21.204332,16.279802,,1,3.0,21.567083,15.273505,,0,3.0,21.420252,14.618837,,4,3.0,21.170584,14.512064,,4.0,3.0,21.287249,14.417988,,5.0,3.0,21.243584,14.685176,,4.0,3.0,21.342499,15.03835,,5.0,3.0,21.2905,15.03835,,4.0,3.0,21.277502,15.03835,,3.0,3.0,21.74392,15.629972,,0.0,3.0,21.769669,15.111424,,-20.0,3.0,22.040499,15.0038395,
25/12/23,1,3.0,21.790085,20.5484,,0,3.0,21.68608,20.5484,,0,3.0,21.598082,19.469976,,2,3.0,21.915,19.852295,,0,3.0,21.86817,18.391735,,4,3.0,21.64975,18.0036,,4.0,3.0,21.678915,18.36353,,4.0,3.0,21.664413,16.954432,,3.0,3.0,21.698748,17.283749,,5.0,3.0,21.64675,17.283749,,3.0,3.0,21.63375,17.283749,,5.0,3.0,22.085585,17.283749,,3.0,3.0,22.21758,16.923828,,-15.0,3.0,22.505081,16.575644,
26/12/23,3,3.0,20.50258,19.06301,,2,3.0,20.398582,19.06301,,5,3.0,20.229332,18.947083,,6,3.0,20.500418,18.345877,,0,3.0,20.391085,17.727943,,7,3.0,20.141417,16.75064,,7.0,3.0,20.305998,17.581125,,2.0,3.0,20.304003,16.394829,,1.0,3.0,20.28833,16.87398,,2.0,3.0,20.236332,16.87398,,1.0,3.0,20.223337,16.87398,,1.0,3.0,20.67725,16.595179,,0.0,3.0,20.807169,17.533146,,-20.0,1.0,21.096754,17.076298,
27/12/23,5,3.0,20.762999,19.930477,,4,3.0,20.659,19.930477,,7,3.0,20.535582,18.792551,,6,3.0,20.842085,17.992796,,6,3.0,20.72025,17.533146,,8,3.0,20.447666,17.193533,,0.0,3.0,20.49975,17.533146,,6.0,3.0,20.387335,16.92383,,5.0,3.0,20.39875,17.399586,,6.0,3.0,20.34675,17.399586,,5.0,3.0,20.33375,17.399586,,3.0,3.0,20.773085,16.92383,,0.0,1.0,20.844666,17.068707,,-25.0,0.0,21.15508,16.92383,
28/12/23,1,3.0,21.177584,18.94024,,0,3.0,21.073584,18.94024,,3,3.0,21.018915,17.771753,,3,3.0,21.331665,17.518356,,2,3.0,21.24525,16.62249,,2,3.0,20.983086,17.654688,,2.0,3.0,21.035166,18.014393,,9.0,3.0,21.051918,18.448023,,8.0,3.0,21.0925,17.294992,,10.0,3.0,21.0405,17.294992,,8.0,3.0,21.0275,17.294992,,9.0,3.0,21.50225,15.39184,,7.0,3.0,21.702997,15.986595,,-15.0,3.0,22.032167,15.856356,
29/12/23,0,3.0,21.535917,20.192118,,0,3.0,21.431917,20.192118,,1,3.0,21.414747,19.770523,,0,3.0,21.742086,18.511143,,0,3.0,21.714003,17.935081,,3,3.0,21.435167,17.227419,,3.0,3.0,21.383081,17.555305,,1.0,3.0,21.34775,17.555305,,0.0,3.0,21.386251,18.1041,,1.0,3.0,21.334251,18.1041,,0.0,3.0,21.32125,18.1041,,1.0,3.0,21.781418,17.873554,,0.0,3.0,21.961334,16.327497,,-21.0,3.0,22.248833,15.281989,
30/12/23,16,3.0,21.412996,16.299694,,15,3.0,21.308996,16.299694,,16,3.0,21.220999,15.328561,,15,3.0,21.662918,14.241629,,15,3.0,21.597334,13.324863,,15,3.0,21.349749,13.684735,,15.0,3.0,21.383081,13.684735,,14.0,3.0,21.351915,13.570615,,13.0,3.0,21.419584,14.345898,,24.0,3.0,21.367582,14.345898,,24.0,3.0,21.354584,14.345898,,20.0,3.0,21.829336,15.509274,,16.0,3.0,22.007164,14.658676,,-5.0,3.0,22.317583,15.517629,
31/12/23,21,3.0,21.17342,16.394829,,20,3.0,21.069418,16.394829,,24,3.0,21.031416,15.509274,,26,3.0,21.444166,14.986553,,23,3.0,21.378584,14.458382,,29,3.0,21.135166,15.03835,,29.0,3.0,21.160168,14.934577,,26.0,3.0,21.143583,15.379206,,27.0,3.0,21.211248,15.683774,,26.0,3.0,21.159252,15.683774,,0.0,3.0,21.146254,15.683774,,25.0,3.0,21.65017,15.459054,,26.0,3.0,21.871748,14.168641,,5.0,3.0,22.200914,13.854155,
01/01/24,2,3.0,22.112999,19.05281,,0,3.0,22.009,19.05281,,3,3.0,21.996,18.709612,,4,3.0,22.462915,17.388409,,2,3.0,22.453583,15.379206,,7,3.0,22.260164,14.336861,,7.0,3.0,22.220581,14.982228,,4.0,3.0,22.17067,15.484185,,0.0,3.0,22.14875,15.7908325,,0.0,3.0,22.09675,15.7908325,,0.0,3.0,22.08375,15.7908325,,4.0,3.0,22.448084,15.815435,,3.0,3.0,22.671753,13.608762,,-20.0,3.0,22.846748,12.641076,
