Date,S1,weather_code_S1,Temperature_S1,Wind_Speed_S1,Distance_travelled_S1,S2,weather_code_S2,Temperature_S2,Wind_Speed_S2,Distance_travelled_S2,S3,weather_code_S3,Temperature_S3,Wind_Speed_S3,Distance_travelled_S3,S4,weather_code_S4,Temperature_S4,Wind_Speed_S4,Distance_travelled_S4,S5,weather_code_S5,Temperature_S5,Wind_Speed_S5,Distance_travelled_S5,S6,weather_code_S6,Temperature_S6,Wind_Speed_S6,Distance_travelled_S6,S7,weather_code_S7,Temperature_S7,Wind_Speed_S7,Distance_travelled_S7,S8,weather_code_S8,Temperature_S8,Wind_Speed_S8,Distance_travelled_S8,S9,weather_code_S9,Temperature_S9,Wind_Speed_S9,Distance_travelled_S9,S10,weather_code_S10,Temperature_S10,Wind_Speed_S10,Distance_travelled_S10
11/4/2023,7,1,23.78,10.38,0,9,1,23.78,10.38,7,10,2,24.23,11.79,145,17,3,23.46,11.68,208,10,3,24.45,10.38,395,20,3,24.31,10.69,433,23,3,23.74,14.11,461,34,3,23.62,11.30,513,51,3,23.00,11.44,567,59,3,22.79,16.20,707
11/5/2023,11,2,23.77,10.50,0,12,2,23.77,10.50,7,8,2,24.21,10.59,145,16,0,23.57,10.45,208,12,1,24.70,14.98,395,21,1,23.98,12.54,433,24,1,23.62,15.29,461,8,1,23.11,14.11,513,14,2,22.90,12.31,567,23,0,22.74,12.57,707
11/6/2023,28,2,24.17,10.37,0,30,2,24.16,10.37,7,31,3,25.08,11.66,145,45,3,24.14,12.18,208,41,2,24.40,9.50,395,55,1,23.79,10.24,433,58,1,23.77,10.14,461,42,0,23.06,8.40,513,45,0,22.66,8.83,567,51,1,21.97,9.09,707
11/7/2023,101,2,24.06,9.18,0,102,2,24.06,9.18,7,98,3,24.64,12.73,145,104,1,24.18,10.80,208,99,1,24.80,10.99,395,109,1,23.97,9.96,433,112,1,23.83,10.14,461,97,0,23.63,9.69,513,103,0,23.19,9.39,567,113,0,22.68,9.20,707
11/8/2023,0,3,24.13,11.38,0,41,3,24.12,11.38,7,45,1,24.71,11.61,145,52,1,24.11,10.83,208,47,3,24.67,12.29,395,57,3,23.40,11.97,433,64,3,22.98,12.32,461,49,3,22.96,13.38,513,53,2,22.49,14.59,567,72,1,22.45,10.70,707
11/9/2023,30,2,24.18,11.48,0,31,2,24.17,11.48,7,34,3,24.93,9,145,51,1,23.71,9.93,208,55,1,25.00,12.77,395,68,1,24.21,9.69,433,72,2,24.62,9.98,461,57,3,23.82,14.24,513,64,51,23.22,13.68,567,72,1,22.67,10.46,707
11/10/2023,0,3,24.39,13.71,0,49,3,24.39,13.71,7,54,2,25.41,10.97,145,64,2,24.37,10.30,208,57,53,23.89,14.46,395,73,51,23.26,16.61,433,79,65,22.90,25.32,461,64,63,21.94,19.56,513,74,63,21.39,16.66,567,88,55,19.86,25.07,707
11/11/2023,64,0,23.72,15.33,0,64,0,23.72,15.33,7,71,0,24.31,15.18,145,89,0,22.85,12.60,208,81,0,21.81,13.28,395,92,0,21.19,12.85,433,95,1,20.87,12.41,461,80,0,20.48,10.59,513,79,0,20.23,9.98,567,81,0,19.05,11.77,707
11/12/2023,1,3,21.37,10.32,0,3,3,21.36,10.32,7,0,3,22.15,11.68,145,11,3,20.82,9.50,208,2,3,21.35,10.11,395,14,3,20.60,9.37,433,17,2,19.92,9.42,461,1,0,19.40,10.32,513,2,1,19.12,10.03,567,5,0,18.64,11.59,707
11/13/2023,0,3,20.92,9,0,5,3,20.92,9,7,1,3,22.19,10.74,145,13,3,20.66,9.18,208,5,3,21.42,8.71,395,20,3,20.72,9.03,433,25,3,20.62,8.64,461,10,3,20.19,8.43,513,10,3,20.14,8.89,567,13,3,19.32,8.16,707
11/14/2023,0,3,21.19,11.09,0,19,3,21.18,11.09,7,15,2,21.95,13.55,145,25,3,20.48,9.45,208,17,3,21.00,9.11,395,22,3,20.97,9.79,433,26,3,20.29,9.53,461,9,3,19.73,11.04,513,9,3,19.42,8.31,567,13,3,18.70,8.89,707
11/15/2023,16,0,20.97,12.68,0,17,0,20.96,12.68,7,20,0,21.63,12.89,145,32,0,19.90,9.89,208,25,0,20.64,8.59,395,35,0,19.87,9.57,433,39,0,19.55,7.99,461,24,0,19.20,8.21,513,25,0,18.80,8.40,567,26,0,18.56,10.18,707
11/16/2023,1,0,21.37,13.68,0,2,0,21.36,13.68,7,5,0,21.65,12.56,145,20,0,20.18,9.11,208,14,0,20.78,10.16,395,25,0,19.69,9.90,433,31,0,19.32,9.89,461,15,0,19.70,9.42,513,15,0,19.36,8.40,567,17,0,19.92,6.44,707
11/17/2023,46,0,20.79,10.69,0,49,0,20.78,10.69,7,46,0,20.87,11.48,145,58,0,19.95,9.59,208,50,1,20.44,8.85,395,58,1,19.31,9.61,433,62,2,19.30,9.20,461,46,1,19.21,9.03,513,69,1,19.08,8.35,567,71,1,20.41,8.29,707
11/18/2023,14,0,21.43,10.19,0,16,0,21.43,10.19,7,13,0,22.13,9.83,145,33,0,20.38,10.18,208,26,2,21.03,9.69,395,37,1,19.79,9,433,45,3,19.44,9.45,461,30,3,19.94,7.97,513,34,3,19.03,9.29,567,39,2,19.87,9.42,707
11/19/2023,12,1,22.60,10.97,0,18,1,22.59,10.97,7,33,3,23.47,12.54,145,49,2,21.82,11.53,208,44,2,21.27,8.79,395,62,0,20.58,9.42,433,69,0,20.39,7.95,461,62,0,19.26,9.18,513,68,0,18.84,10.14,567,70,0,20.27,10.83,707
11/20/2023,25,2,22.95,10.44,0,27,2,22.94,10.44,7,30,3,23.42,13.53,145,55,1,21.74,9.61,208,48,1,21.49,8.83,395,60,0,20.90,8.65,433,65,0,20.30,9.35,461,50,0,20.29,9.36,513,55,0,19.49,8.65,567,60,0,18.88,9.93,707
11/21/2023,1,1,22.00,11.59,0,4,1,22.00,11.59,7,20,2,22.04,9.42,145,35,0,20.73,9.01,208,38,0,20.69,10.20,395,48,1,20.00,10.51,433,54,3,19.81,11.18,461,43,3,19.41,13.09,513,46,3,19.45,13.40,567,47,1,18.69,16.75,707
11/22/2023,52,0,21.44,9.06,0,51,0,21.43,9.06,7,71,0,21.66,9.53,145,87,0,20.18,9.45,208,80,0,20.16,10.30,395,94,0,19.33,8.91,433,97,0,18.89,10.20,461,83,0,18.48,9.47,513,89,0,18.35,9.03,567,92,0,17.97,14.15,707
11/23/2023,20,3,21.53,11.18,0,21,3,21.53,11.18,7,21,1,21.50,10.69,145,34,0,19.61,9.45,208,27,0,19.25,10.18,395,41,0,18.67,8.56,433,47,0,18.72,8.89,461,31,0,17.72,9.96,513,34,0,17.77,10.50,567,39,0,17.79,8.21,707
11/24/2023,7,0,21.13,12.78,0,9,0,21.12,12.78,7,20,0,20.78,11.46,145,31,0,18.74,10.46,208,25,0,19.85,10.63,395,36,0,18.73,10.59,433,42,1,18.88,9.98,461,27,2,18.63,7.75,513,31,2,18.52,5.99,567,34,2,18.23,8.23,707
11/25/2023,37,2,20.34,11.97,0,39,2,20.33,11.97,7,42,1,20.39,13.25,145,51,0,18.31,10.25,208,43,2,19.79,9.39,395,50,3,18.56,8.76,433,56,3,18.74,10.03,461,44,3,18.30,10.01,513,47,3,18.51,9.51,567,48,3,18.81,7.64,707
11/26/2023,4,61,20.89,12.30,0,4,61,20.88,12.30,7,12,3,20.64,14.69,145,21,3,18.91,10.14,208,15,3,20.23,12.73,395,26,3,19.87,12.61,433,30,3,19.42,11.53,461,16,3,19.19,11.90,513,20,3,19.25,10.11,567,22,3,19.23,11.21,707
11/27/2023,25,63,18.10,15.19,0,26,63,18.10,15.19,7,36,61,18.69,16.30,145,47,55,17.81,13.28,208,40,61,19.06,15.28,395,47,53,19.03,14.49,433,52,63,18.93,13.00,461,40,53,18.73,14.99,513,49,63,19.14,17.88,567,54,53,18.42,23.83,707
11/28/2023,1,51,18.54,11.93,0,2,51,18.54,11.93,7,0,51,19.49,10.50,145,10,51,18.57,9.79,208,5,51,19.78,10.24,395,15,53,19.46,10.48,433,23,53,18.82,8.56,461,7,51,18.94,11.25,513,13,63,17.91,11.81,567,18,55,17.50,9.39,707
11/29/2023,20,53,19.31,11.99,0,23,53,19.30,11.99,7,25,51,19.90,10.74,145,35,53,19.68,8.77,208,28,51,20.51,7.21,395,41,51,19.64,7.99,433,47,51,19.14,8.56,461,42,1,19.05,7.49,513,46,51,18.77,8.22,567,49,51,18.89,8.50,707
11/30/2023,9,63,20.01,14.92,0,11,63,20.00,14.92,7,23,51,20.29,9.23,145,34,53,19.68,9.89,208,32,53,20.09,10.51,395,45,51,19.82,10.25,433,53,61,19.44,9.69,461,37,53,19.10,13.85,513,39,61,19.05,11.59,567,41,53,17.47,14.78,707
12/1/2023,2,61,19.64,12.60,0,8,61,19.63,12.60,7,20,51,19.76,12.18,145,28,51,19.45,11.61,208,32,51,19.81,10.20,395,52,51,19.80,9.45,433,59,51,19.17,8.56,461,46,51,18.69,8.40,513,49,51,18.62,8.67,567,51,53,18.57,9.29,707
12/2/2023,81,51,20.39,13.98,0,82,51,20.38,13.98,7,79,51,20.30,16.18,145,91,51,20.00,14.04,208,90,51,20.87,10.03,395,103,61,20.20,9,433,107,1,19.97,7.42,461,94,51,19.13,7.95,513,97,0,18.69,9.11,567,100,0,18.02,8.76,707
