Date,SBC_Delay,weather_code_SBC,Temperature_SBC,Wind_Speed_SBC,Distance_travelled_SBC,BNC_Delay,weather_code_BNC,Temperature_BNC,Wind_Speed_BNC,Distance_travelled_BNC,DPJ_Delay,weather_code_DPJ,Temperature_DPJ,Wind_Speed_DPJ,Distance_travelled_DPJ,SA_Delay,weather_code_SA,Temperature_SA,Wind_Speed_SA,Distance_travelled_SA,SGE_Delay,weather_code_SGE,Temperature_SGE,Wind_Speed_SGE,Distance_travelled_SGE,TUP_Delay,weather_code_TUP,Temperature_TUP,Wind_Speed_TUP,Distance_travelled_TUP,CBE_Delay,weather_code_CBE,Temperature_CBE,Wind_Speed_CBE,Distance_travelled_CBE,TCR_Delay,weather_code_TCR,Temperature_TCR,Wind_Speed_TCR,Distance_travelled_TCR,AWY_Delay,weather_code_AWY,Temperature_AWY,Wind_Speed_AWY,Distance_travelled_AWY,ERS_Delay,weather_code_ERS,Temperature_ERS,Wind_Speed_ERS,Distance_travelled_ERS
05/11/23,4,63,22.268747,13.084402,,7,63,22.132248,13.084402,,29,61,24.247833,12.181625,,22,53,25.717165,10.97262,,16,61,25.251837,10.787993,,1,63,24.261335,13.979872,,12,53,23.847418,11.720751,,7,65,25.382416,9.220499,,14,65,25.359915,9.693296,,18,63,25.851748,9.957108,
06/11/23,1,65,22.34375,9.36,,4,65,22.20725,9.36,,26,63,25.058249,10.829958,,24,61,26.142166,9.220499,,25,65,26.133085,10.1887,,19,63,25.540503,8.647496,,25,55,24.553667,11.019764,,16,61,26.80533,7.5685663,,15,61,26.270334,9.585739,,18,63,26.54966,10.495713,
07/11/23,1,63,22.210417,16.327497,,4,63,22.073915,16.327497,,30,63,24.145754,11.183201,,21,63,25.28592,9.290511,,29,63,25.301832,11.592895,,20,63,25.10092,10.00256,,27,63,24.45575,10.948973,,22,63,26.288666,13.684735,,21,65,25.793251,9.422101,,25,65,26.239248,11.440979,
08/11/23,2,65,22.368752,13.570615,,6,65,22.232248,13.570615,,29,53,24.093668,18.014393,,14,63,24.756752,10.296251,,30,55,25.0935,11.609651,,25,63,24.79883,8.707237,,21,63,24.222414,12.224107,,11,63,26.184504,14.003028,,14,63,25.814085,10.24578,,16,65,26.028831,8.373386,
09/11/23,2,63,22.172915,17.31746,,3,63,22.03642,17.31746,,31,61,24.187414,15.1884165,,26,63,24.708834,9.227524,,29,65,24.880997,9.746631,,20,61,24.909254,9.3876505,,33,63,24.276579,12.538134,,26,53,25.70533,10.495713,,15,53,25.405748,11.090103,,15,55,26.024664,9.449572,
10/11/23,2,51,22.475,18.416384,,8,51,22.338501,18.416384,,35,51,24.460335,16.700275,,49,61,25.437998,7.42159,,43,51,25.743502,13.608762,,32,61,25.173838,12.181624,,38,61,24.320333,17.148247,,24,61,26.842834,20.46941,,14,65,25.657835,9.422101,,18,61,26.237165,11.792404,
11/11/23,0,3,21.65625,18.511143,,2,3,21.519753,18.511143,,38,3,23.84992,16.676977,,66,51,24.627584,7.928177,,60,51,26.172663,12.229406,,45,53,25.317583,14.021525,,50,61,24.670334,16.08761,,43,53,27.442833,19.130875,,26,63,26.52867,10.233123,,27,53,27.195498,10.587917,
12/11/23,2,3,21.260414,21.313093,,4,3,21.123919,21.313093,,26,3,23.593668,15.509274,,13,3,24.060915,6.439876,,17,3,25.358084,13.202726,,3,3,24.903,14.186923,,6,3,23.872414,15.124284,,1,3,26.894915,20.326454,,17,3,26.241167,10.805998,,22,3,26.953829,13.202726,
13/11/23,1,3,21.816666,21.41319,,3,3,21.680168,21.41319,,23,53,24.797834,16.071491,,20,61,25.523417,9.021574,,14,61,26.32475,12.371645,,7,3,25.665504,11.269782,,16,3,24.48075,14.529915,,0,3,26.661585,19.652176,,19,3,26.287003,14.186923,,19,3,27.089249,15.021105,
14/11/23,2,51,20.922916,19.13426,,6,51,20.786417,19.13426,,39,61,22.558252,15.778516,,20,61,23.667168,13.324863,,38,63,23.933083,15.978486,,26,3,24.436338,16.418526,,26,3,23.561998,17.727943,,9,3,27.503244,17.414474,,14,51,26.145332,7.754637,,19,53,26.341333,11.440979,
15/11/23,4,53,21.99375,15.629971,,6,53,21.857254,15.629971,,28,3,24.26867,17.148247,,14,3,25.517168,10.805998,,18,3,25.933083,13.32,,3,51,26.025917,10.182337,,3,3,24.797415,12.10157,,1,3,27.355331,14.654254,,17,53,26.059916,15.124284,,23,55,26.224665,13.202726,
16/11/23,4,3,23.347921,14.973577,,7,3,23.21142,14.973577,,28,51,25.47492,14.345898,,17,51,26.246336,14.578888,,14,51,26.81642,12.261158,,2,53,26.71758,11.480557,,5,61,25.637001,13.854155,,6,53,27.326164,12.879752,,18,61,26.278666,9.021574,,20,53,26.705915,10.538843,
17/11/23,2,3,23.53333,15.716793,,5,3,23.396835,15.716793,,28,3,25.204084,13.797912,,26,51,26.902582,8.647496,,22,51,27.485168,13.910169,,12,51,27.227999,9.826088,,18,51,25.98075,13.979872,,10,61,27.213663,10.464797,,19,63,26.8495,9.220499,,28,53,27.193415,10.483357,
18/11/23,3,3,23.285418,16.24394,,6,3,23.148918,16.24394,,35,3,25.326998,14.512064,,29,51,26.213003,10.799999,,25,3,27.410166,13.755579,,16,51,26.963415,15.192682,,20,51,25.6495,18.733839,,14,55,26.3095,9.178235,,15,61,26.016165,11.966954,,23,63,26.497581,10.365251,
19/11/23,3,3,22.708334,19.35314,,5,3,22.571836,19.35314,,27,3,25.056166,18.014393,,26,3,26.183832,13.1041975,,27,3,26.945585,16.520823,,17,3,26.694666,11.609651,,18,3,25.664083,15.778516,,5,3,27.261581,19.242327,,14,51,26.303667,11.480557,,27,3,26.574667,10.8955765,
20/11/23,2,51,22.485413,18.875126,,5,51,22.34892,18.875126,,25,51,24.406166,15.072783,,20,53,26.338,12.287555,,11,51,27.124748,13.905509,,3,3,27.463417,14.277983,,23,3,25.991167,14.264361,,12,3,27.244917,14.480773,,15,3,26.59533,8.669949,,23,51,27.116335,11.592894,
21/11/23,1,55,22.891668,19.681828,,4,55,22.755167,19.681828,,19,53,25.062418,16.946787,,23,63,26.862999,12.371645,,6,61,27.374746,14.973576,,0,63,27.57592,13.276144,,10,63,26.139082,13.608762,,6,63,27.89908,11.808878,,12,63,27.2245,12.682018,,27,63,27.649664,11.043261,
22/11/23,2,53,22.991663,14.044615,,4,53,22.85517,14.044615,,33,61,24.33117,13.397612,,27,65,25.250502,15.281989,,24,65,25.222666,16.610792,,12,65,25.703003,9.726664,,12,65,24.543251,11.879999,,10,65,25.832415,10.594036,,12,65,25.262,10.44,,33,65,25.62883,13.009903,
23/11/23,0,63,22.008337,16.704155,,8,63,21.871836,16.704155,,29,53,23.749916,12.10157,,19,61,24.683838,12.7279215,,20,63,24.4185,9.726664,,8,63,24.103003,11.304229,,9,61,23.470331,13.527572,,8,51,26.11783,10.315115,,17,63,25.02867,6.9247384,,29,63,25.641333,7.968939,
24/11/23,4,63,22.164581,18.532133,,5,63,22.028086,18.532133,,30,63,23.935333,13.797913,,30,51,25.496336,13.281023,,36,61,25.941416,9.659814,,27,51,25.846748,11.928989,,17,51,24.795334,16.93531,,10,63,26.721998,15.893093,,11,63,26.026579,8.766573,,21,65,26.460083,8.350138,
25/11/23,1,53,22.310417,21.96,,2,53,22.173918,21.96,,22,61,23.591583,19.110542,,16,63,25.492167,14.372974,,10,55,25.433083,14.33234,,2,65,24.377996,14.291592,,3,63,23.739082,15.546833,,0,63,27.09075,20.176065,,15,63,26.130745,10.661107,,28,61,26.518415,10.1887,
26/11/23,2,51,22.199997,23.762726,,3,51,22.063501,23.762726,,37,53,23.560333,21.24305,,19,53,25.417168,10.805999,,30,51,25.601835,16.62249,,13,61,24.615501,16.862455,,14,63,23.709915,19.770523,,4,3,27.934496,25.44566,,12,63,26.580751,7.2,,22,3,27.270502,10.446206,
27/11/23,0,53,22.279167,19.255793,,3,53,22.142668,19.255793,,23,51,24.366585,16.575644,,15,51,25.548418,11.609651,,22,51,26.170586,9.9571085,,14,51,25.382166,10.829959,,20,55,24.616165,16.039202,,17,3,28.363663,21.325253,,24,63,26.691164,10.483357,,44,3,27.414248,12.682018,
28/11/23,1,51,22.687498,16.263872,,3,51,22.551003,16.263872,,19,51,24.316584,18.129137,,1,53,25.883835,11.525623,,14,51,25.960167,11.090103,,9,61,24.863417,11.440979,,16,55,24.249498,14.654254,,2,51,27.734503,20.172853,,15,55,26.5745,11.726277,,28,61,27.064247,10.08,
29/11/23,1,51,22.522917,19.829433,,2,51,22.38642,19.829433,,19,63,24.087416,14.512064,,11,63,25.671335,10.931203,,4,53,25.966415,9.686609,,1,53,25.071747,13.891522,,0,63,24.343248,18.079027,,13,3,28.219917,18.440998,,14,61,26.732832,11.542478,,23,53,26.945498,10.739833,
30/11/23,3,51,22.268751,19.930477,,6,51,22.132254,19.930477,,26,51,23.802002,15.517629,,19,63,24.929667,11.183201,,11,63,25.193499,12.10157,,0,61,25.105085,8.4042845,,3,65,24.084915,14.764389,,2,51,28.186583,15.745627,,13,63,26.864082,9.605998,,30,53,27.341337,9.107359,
01/12/23,3,55,21.987503,17.076298,,5,55,21.851,17.076298,,15,61,24.037416,14.20062,,20,63,25.329668,7.9526596,,29,51,25.976835,14.417988,,15,51,25.611336,20.94507,,20,51,24.795334,12.879752,,20,51,27.819916,14.658676,,15,63,26.357832,11.304229,,27,63,26.601746,9.693296,
02/12/23,0,55,22.345835,21.611996,,4,55,22.209335,21.611996,,24,61,24.49575,17.873556,,11,53,26.250502,12.9249525,,24,51,26.556,15.84,,23,51,26.117584,16.58346,,18,3,24.878664,12.313893,,2,51,27.622,12.594856,,11,51,26.33908,14.654254,,22,53,26.535078,14.512064,
03/12/23,1,61,21.997915,25.570139,,3,61,21.861418,25.570139,,19,53,24.091585,16.965895,,17,55,25.892168,19.296133,,10,61,26.07683,20.275383,,8,63,25.886332,17.10284,,11,53,24.897415,14.799459,,10,53,26.85116,11.503113,,16,51,26.078669,11.841756,,23,51,26.282997,10.390226,
04/12/23,2,3,21.3125,27.009598,,5,3,21.176,27.009598,,33,3,24.358252,18.668005,,13,3,25.898417,18.089775,,29,3,26.235168,12.181625,,27,3,26.036337,13.089354,,23,51,24.853666,11.620809,,12,51,27.051165,11.384198,,14,51,26.255747,10.805998,,30,53,26.887167,13.979872,
05/12/23,1,3,22.625,18.35647,,3,3,22.4885,18.35647,,24,3,25.599916,17.208603,,22,51,26.421335,11.753876,,30,3,26.520582,7.072878,,20,3,26.284254,9.793059,,23,51,25.024498,12.144331,,43,53,27.103249,12.24,,48,51,26.589083,12.10157,,66,53,27.360079,12.783802,
06/12/23,2,3,22.822914,13.905509,,5,3,22.686419,13.905509,,27,3,26.126999,10.105681,,44,51,27.454666,13.75558,,23,61,27.451834,11.525623,,20,3,26.561335,11.592895,,20,3,25.172417,8.4963045,,32,3,27.078249,12.413477,,41,51,26.430748,10.883676,,55,51,27.137167,11.720751,
