Date,ERS_Delay,weather_code_ERS,Temperature_ERS,Wind_Speed_ERS,Distance_travelled_ERS,AWY_Delay,weather_code_AWY,Temperature_AWY,Wind_Speed_AWY,Distance_travelled_AWY,TCR_Delay,weather_code_TCR,Temperature_TCR,Wind_Speed_TCR,Distance_travelled_TCR,CBE_Delay,weather_code_CBE,Temperature_CBE,Wind_Speed_CBE,Distance_travelled_CBE,TUP_Delay,weather_code_TUP,Temperature_TUP,Wind_Speed_TUP,Distance_travelled_TUP,ED_Delay,weather_code_ED,Temperature_ED,Wind_Speed_ED,Distance_travelled_ED,DPJ_Delay,weather_code_DPJ,Temperature_DPJ,Wind_Speed_DPJ,Distance_travelled_DPJ,HSRA_Delay,weather_code_HSRA,Temperature_HSRA,Wind_Speed_HSRA,Distance_travelled_HSRA,CRLM_Delay,weather_code_CRLM,Temperature_CRLM,Wind_Speed_CRLM,Distance_travelled_CRLM,SBC_Delay,weather_code_SBC,Temperature_SBC,Wind_Speed_SBC,Distance_travelled_SBC
05/11/23,0,63,22.268747,13.084402,0,1,63,22.132248,13.084402,20,14,63,22.347166,13.392774,75,18,61,24.247833,12.181625,206,19,53,25.717165,10.97262,256,11,61,25.251837,10.787993,307,14,53,23.847418,11.720751,435,18,61,25.506834,14.021525,528,20,65,25.382416,9.220499,562,17,63,25.851748,9.957108,587
06/11/23,0,65,22.34375,9.36,0,1,65,22.20725,9.36,20,9,65,22.447168,9.931042,75,1,63,25.058249,10.829958,206,0,61,26.142166,9.220499,256,1,65,26.133085,10.1887,307,26,55,24.553667,11.019764,435,41,63,26.400583,10.1887,528,7,61,26.80533,7.5685663,562,0,63,26.54966,10.495713,587
07/11/23,0,63,22.210417,16.327497,0,3,63,22.073915,16.327497,20,12,63,22.257584,11.5199995,75,13,63,24.145754,11.183201,206,13,63,25.28592,9.290511,256,9,63,25.301832,11.592895,307,45,63,24.45575,10.948973,435,69,63,26.192245,12.413476,528,64,63,26.288666,13.684735,562,36,65,26.239248,11.440979,587
08/11/23,0,65,22.368752,13.570615,0,1,65,22.232248,13.570615,20,7,65,22.555502,11.570515,75,1,53,24.093668,18.014393,206,13,63,24.756752,10.296251,256,9,55,25.0935,11.609651,307,33,63,24.222414,12.224107,435,47,63,25.738081,9.346143,528,54,63,26.184504,14.003028,562,35,65,26.028831,8.373386,587
09/11/23,1,63,22.172915,17.31746,0,3,63,22.03642,17.31746,20,16,53,22.113832,18.532133,75,7,61,24.187414,15.1884165,206,10,63,24.708834,9.227524,256,4,65,24.880997,9.746631,307,26,63,24.276579,12.538134,435,45,65,25.560999,12.879752,528,55,53,25.70533,10.495713,562,75,55,26.024664,9.449572,587
10/11/23,1,51,22.475,18.416384,0,2,51,22.338501,18.416384,20,12,51,22.384666,17.057314,75,5,51,24.460335,16.700275,206,4,61,25.437998,7.42159,256,9,51,25.743502,13.608762,307,16,61,24.320333,17.148247,435,41,51,26.888079,19.443333,528,7,61,26.842834,20.46941,562,22,61,26.237165,11.792404,587
11/11/23,0,3,21.65625,18.511143,0,3,3,21.519753,18.511143,20,13,3,21.478416,17.731598,75,49,3,23.84992,16.676977,206,47,51,24.627584,7.928177,256,41,51,26.172663,12.229406,307,41,61,24.670334,16.08761,435,52,51,27.28392,19.110542,528,49,53,27.442833,19.130875,562,8,53,27.195498,10.587917,587
12/11/23,1,3,21.260414,21.313093,0,2,3,21.123919,21.313093,20,8,3,20.932583,19.35314,75,5,3,23.593668,15.509274,206,5,3,24.060915,6.439876,256,10,3,25.358084,13.202726,307,15,3,23.872414,15.124284,435,22,3,26.133911,19.06301,528,0,3,26.894915,20.326454,562,8,3,26.953829,13.202726,587
13/11/23,0,3,21.816666,21.41319,0,1,3,21.680168,21.41319,20,9,3,21.682587,20.345573,75,0,53,24.797834,16.071491,206,0,61,25.523417,9.021574,256,1,61,26.32475,12.371645,307,11,3,24.48075,14.529915,435,15,3,26.133913,18.733839,528,35,3,26.661585,19.652176,562,21,3,27.089249,15.021105,587
14/11/23,0,51,20.922916,19.13426,0,3,51,20.786417,19.13426,20,12,53,20.77425,16.434305,75,10,61,22.558252,15.778516,206,6,61,23.667168,13.324863,256,10,63,23.933083,15.978486,307,37,3,23.561998,17.727943,435,15,3,26.038084,18.64369,528,22,3,27.503244,17.414474,562,0,53,26.341333,11.440979,587
15/11/23,0,53,21.99375,15.629971,0,1,53,21.857254,15.629971,20,7,51,21.92425,17.610588,75,8,3,24.26867,17.148247,206,9,3,25.517168,10.805998,256,0,3,25.933083,13.32,307,25,3,24.797415,12.10157,435,58,3,27.150583,13.32,528,52,3,27.355331,14.654254,562,11,55,26.224665,13.202726,587
16/11/23,1,3,23.347921,14.973577,0,2,3,23.21142,14.973577,20,10,3,23.340918,12.7279215,75,0,51,25.47492,14.345898,206,0,51,26.246336,14.578888,256,3,51,26.81642,12.261158,307,23,61,25.637001,13.854155,435,28,51,27.298498,14.205182,528,42,53,27.326164,12.879752,562,23,53,26.705915,10.538843,587
17/11/23,0,3,23.53333,15.716793,0,2,3,23.396835,15.716793,20,10,3,23.422167,14.241629,75,12,3,25.204084,13.797912,206,10,51,26.902582,8.647496,256,14,51,27.485168,13.910169,307,23,51,25.98075,13.979872,435,33,3,27.738083,16.299694,528,47,61,27.213663,10.464797,562,14,53,27.193415,10.483357,587
18/11/23,0,3,23.285418,16.24394,0,19,3,23.148918,16.24394,20,28,3,22.976334,15.876775,75,19,3,25.326998,14.512064,206,15,51,26.213003,10.799999,256,8,3,27.410166,13.755579,307,13,51,25.6495,18.733839,435,30,63,26.89017,13.556282,528,34,55,26.3095,9.178235,562,25,63,26.497581,10.365251,587
19/11/23,0,3,22.708334,19.35314,0,5,3,22.571836,19.35314,20,17,3,22.399252,18.511143,75,8,3,25.056166,18.014393,206,5,3,26.183832,13.1041975,256,0,3,26.945585,16.520823,307,24,3,25.664083,15.778516,435,28,3,27.888079,18.733839,528,28,3,27.261581,19.242327,562,0,3,26.574667,10.8955765,587
20/11/23,1,51,22.485413,18.875126,0,5,51,22.34892,18.875126,20,11,51,22.095083,17.072504,75,6,51,24.406166,15.072783,206,6,53,26.338,12.287555,256,6,51,27.124748,13.905509,307,18,3,25.991167,14.264361,435,23,3,27.508913,13.202726,528,27,3,27.244917,14.480773,562,15,51,27.116335,11.592894,587
21/11/23,0,55,22.891668,19.681828,0,2,55,22.755167,19.681828,20,12,61,22.824251,17.935081,75,9,53,25.062418,16.946787,206,4,63,26.862999,12.371645,256,15,61,27.374746,14.973576,307,39,63,26.139082,13.608762,435,39,63,27.704748,12.768586,528,5,63,27.89908,11.808878,562,14,63,27.649664,11.043261,587
22/11/23,0,53,22.991663,14.044615,0,2,53,22.85517,14.044615,20,11,61,22.870085,19.721298,75,3,61,24.33117,13.397612,206,0,65,25.250502,15.281989,256,2,65,25.222666,16.610792,307,24,65,24.543251,11.879999,435,39,63,25.840162,11.988594,528,50,65,25.832415,10.594036,562,22,65,25.62883,13.009903,587
23/11/23,1,63,22.008337,16.704155,0,4,63,21.871836,16.704155,20,10,63,21.853416,16.299694,75,3,53,23.749916,12.10157,206,2,61,24.683838,12.7279215,256,11,63,24.4185,9.726664,307,42,61,23.470331,13.527572,435,50,61,25.794336,12.783802,528,57,51,26.11783,10.315115,562,33,63,25.641333,7.968939,587
24/11/23,0,63,22.164581,18.532133,0,1,63,22.028086,18.532133,20,8,63,21.945084,16.78156,75,4,63,23.935333,13.797913,206,10,51,25.496336,13.281023,256,18,61,25.941416,9.659814,307,30,51,24.795334,16.93531,435,40,3,27.28808,17.414476,528,45,63,26.721998,15.893093,562,23,65,26.460083,8.350138,587
25/11/23,0,53,22.310417,21.96,0,3,53,22.173918,21.96,20,12,55,21.978416,21.322214,75,5,61,23.591583,19.110542,206,10,63,25.492167,14.372974,256,10,55,25.433083,14.33234,307,21,63,23.739082,15.546833,435,0,61,26.681837,19.45333,528,41,63,27.09075,20.176065,562,3,61,26.518415,10.1887,587
26/11/23,0,51,22.199997,23.762726,0,2,51,22.063501,23.762726,20,10,51,22.03675,22.691425,75,10,53,23.560333,21.24305,206,6,53,25.417168,10.805999,256,4,51,25.601835,16.62249,307,9,63,23.709915,19.770523,435,14,51,27.029749,23.535301,528,18,3,27.934496,25.44566,562,33,3,27.270502,10.446206,587
27/11/23,0,53,22.279167,19.255793,0,3,53,22.142668,19.255793,20,11,53,22.257584,17.992796,75,1,51,24.366585,16.575644,206,6,51,25.548418,11.609651,256,15,51,26.170586,9.9571085,307,29,55,24.616165,16.039202,435,56,3,27.396416,20.880001,528,26,3,28.363663,21.325253,562,20,3,27.414248,12.682018,587
28/11/23,1,51,22.687498,16.263872,0,1,51,22.551003,16.263872,20,7,51,22.570084,19.008547,75,0,51,24.316584,18.129137,206,8,53,25.883835,11.525623,256,21,51,25.960167,11.090103,307,31,55,24.249498,14.654254,435,56,3,27.240166,18.0036,528,50,51,27.734503,20.172853,562,27,61,27.064247,10.08,587
