Date,HYB_Delay,weather_code_HYB,Temperature_HYB,Wind_Speed_HYB,Distance_travelled_HYB,VKB_Delay,weather_code_VKB,Temperature_VKB,Wind_Speed_VKB,Distance_travelled_VKB,TDU_Delay,weather_code_TDU,Temperature_TDU,Wind_Speed_TDU,Distance_travelled_TDU,WADI_Delay,weather_code_WADI,Temperature_WADI,Wind_Speed_WADI,Distance_travelled_WADI,KLBG_Delay,weather_code_KLBG,Temperature_KLBG,Wind_Speed_KLBG,Distance_travelled_KLBG,KWV_Delay,weather_code_KWV,Temperature_KWV,Wind_Speed_KWV,Distance_travelled_KWV,PUNE_Delay,weather_code_PUNE,Temperature_PUNE,Wind_Speed_PUNE,Distance_travelled_PUNE,KYN_Delay,weather_code_KYN,Temperature_KYN,Wind_Speed_KYN,Distance_travelled_KYN,DR_Delay,weather_code_DR,Temperature_DR,Wind_Speed_DR,Distance_travelled_DR,CSMT_Delay,weather_code_CSMT,Temperature_CSMT,Wind_Speed_CSMT,Distance_travelled_CSMT
05/11/23,0,3,25.309336,12.758432,,11,3,24.958166,13.363711,,19,3,25.797583,11.592895,,29,3,27.578085,15.021105,,26,3,27.163588,14.773164,,43,3,28.335253,25.812277,,67,3,25.652502,13.722565,,67,3,28.74617,12.397806,,37,3,28.838501,15.463246,,27,3,28.961832,21.96295,
06/11/23,3,63,24.663504,13.849477,,20,63,24.168587,15.463244,,25,65,25.185087,14.372974,,31,61,26.471832,14.081477,,24,51,26.553167,16.79314,,39,3,28.139418,23.708124,,56,3,24.823332,15.137133,,54,3,27.869085,11.503113,,23,3,28.340584,21.09305,,27,3,28.299332,25.212852,
07/11/23,4,61,24.213501,14.205182,,7,63,23.851915,14.77755,,11,53,25.118416,14.471821,,36,63,26.521835,20.26899,,24,61,26.017748,17.698677,,20,55,27.756083,15.281989,,45,3,26.369165,15.463246,,58,3,28.229502,15.349684,,19,3,28.01975,22.553936,,20,3,28.374334,30.684587,
08/11/23,1,63,24.290586,11.183201,,45,63,23.416502,14.57889,,51,63,24.439253,13.363711,,67,63,24.753084,18.014393,,84,61,24.390663,16.65754,,85,65,25.051916,14.205182,,88,53,24.702501,16.676977,,92,51,28.79825,12.738099,,47,3,28.034332,22.782625,,56,3,27.795166,35.369884,
09/11/23,1,3,24.555166,11.298495,,15,51,23.84567,18,,34,53,24.558,13.324863,,36,61,24.509333,15.042659,,54,55,24.182335,14.799459,,52,51,25.149836,18.35647,,62,63,24.256666,15.042659,,63,51,28.556587,17.555307,,13,51,28.615583,15.328561,,10,53,28.088919,18.792551,
10/11/23,1,3,24.432253,11.113451,,0,3,24.304,14.458382,,4,3,25.172585,11.113451,,11,51,25.89475,10.009036,,32,61,25.565666,11.753877,,33,3,25.856085,13.608762,,58,61,24.071249,13.684735,,61,63,28.102419,18.345877,,13,51,28.19683,18.947083,,7,3,27.884745,24.75638,
11/11/23,4,3,24.471834,10.538843,,40,3,23.889418,12.979984,,43,3,24.630915,11.620809,,41,3,25.723917,13.039754,,31,3,25.473999,10.948973,,30,3,27.149834,12.10157,,46,3,25.20667,14.05845,,47,3,29.175337,8.891343,,13,3,29.471834,21.068459,,22,3,28.786833,25.277023,
12/11/23,2,3,24.796835,11.792404,,22,3,24.458162,15.2947035,,32,3,25.233002,13.527572,,33,3,26.005165,14.88242,,22,3,25.630247,14.182355,,26,3,27.356085,20.073025,,35,3,24.99208,13.441071,,38,3,29.146166,14.565548,,12,3,29.186417,22.702845,,9,3,29.07225,26.758923,
13/11/23,0,3,24.644747,9.255571,,9,3,24.081085,13.627795,,22,3,24.749666,11.928989,,26,3,25.521833,12.031756,,50,3,25.124002,10.538843,,50,3,26.610252,21.068459,,66,3,24.381668,7.5942073,,69,3,28.471167,14.759999,,15,3,27.978083,18.289274,,4,3,28.684753,23.584808,
14/11/23,0,3,24.32392,9.746631,,0,3,24.126917,13.1041975,,5,3,24.985083,10.24578,,9,3,25.553083,11.304229,,1,3,25.17608,12.620554,,13,3,26.929,14.84318,,41,3,24.52125,10.390226,,46,3,27.764915,10.105681,,1,3,27.551,17.298738,,28,3,28.236832,20.188908,
