Date,MAS_Delay,weather_code_MAS,Temperature_MAS,Wind_Speed_MAS,Distance_travelled_MAS,BZA_Delay,weather_code_BZA,Temperature_BZA,Wind_Speed_BZA,Distance_travelled_BZA,RJY_Delay,weather_code_RJY,Temperature_RJY,Wind_Speed_RJY,Distance_travelled_RJY,BAM_Delay,weather_code_BAM,Temperature_BAM,Wind_Speed_BAM,Distance_travelled_BAM,BBS_Delay,weather_code_BBS,Temperature_BBS,Wind_Speed_BBS,Distance_travelled_BBS,CTC_Delay,weather_code_CTC,Temperature_CTC,Wind_Speed_CTC,Distance_travelled_CTC,BLS_Delay,weather_code_BLS,Temperature_BLS,Wind_Speed_BLS,Distance_travelled_BLS,KGP_Delay,weather_code_KGP,Temperature_KGP,Wind_Speed_KGP,Distance_travelled_KGP,SRC_Delay,weather_code_SRC,Temperature_SRC,Wind_Speed_SRC,Distance_travelled_SRC,SHM_Delay,weather_code_SHM,Temperature_SHM,Wind_Speed_SHM,Distance_travelled_SHM
05/11/23,0,63,25.553587,11.090103,,0,53,26.839663,15.042659,,0,53,26.643415,15.315873,,9,53,25.463083,9.6932955,,20,53,25.968496,10.799999,,41,53,25.706171,14.372974,,33,61,25.026,14.003029,,29,53,24.835167,13.202726,,20,61,25.225248,7.9932976,,-5,63,25.175253,8.473393,
06/11/23,0,63,26.199419,15.463246,,6,61,26.36675,15.256526,,15,63,26.164253,18.171976,,34,61,25.650583,11.183201,,60,51,26.747665,14.186923,,62,3,26.451998,11.988594,,38,3,25.921831,11.269782,,33,3,24.755999,9.726665,,25,3,24.966917,12.864649,,11,3,25.091917,13.556282,
07/11/23,3,63,26.268167,16.62249,,0,63,26.65425,13.363711,,1,63,26.418419,15.463244,,28,3,26.042246,13.0447235,,43,3,26.289331,8.049845,,32,3,25.864504,9.1641035,,39,3,24.778084,8.12197,,36,3,24.533081,9.028754,,28,3,24.558584,11.384198,,-24,3,24.539835,11.885453,
08/11/23,9,63,25.884834,17.174677,,7,63,26.4105,10.446206,,33,63,26.789248,9.007196,,44,2,25.456835,10.799999,,69,3,25.931,9.826088,,75,3,25.531168,8.049845,,47,1,24.513498,8.287822,,45,1,23.991415,8.28,,33,1,24.8565,10.799999,,-1,2,25.085663,10.948973,
09/11/23,0,63,25.736916,15.745627,,10,51,27.470915,11.246759,,25,3,27.057999,13.684735,,43,2,24.363083,12.229406,,60,0,25.091415,10.365251,,57,2,24.874916,8.766573,,40,3,24.46975,10.805999,,38,1,24.145584,10.630672,,25,1,25.035666,9.028754,,-22,2,25.091919,9.360001,
10/11/23,0,51,27.753584,18.844202,,0,2,26.631332,11.252519,,5,3,26.349665,14.24163,,31,3,25.102663,13.246826,,54,3,25.483086,9.449572,,57,3,25.08325,9.19939,,52,3,24.632254,12.959999,,50,3,24.8685,11.304229,,50,3,24.956497,12.496719,,2,3,25.121084,13.202726,
11/11/23,0,3,27.768167,21.897945,,4,3,26.925085,12.074766,,0,3,26.714249,12.0694,,11,3,25.421417,13.004922,,37,3,26.024748,10.383987,,30,3,25.608248,8.854829,,40,3,25.290586,11.212135,,38,3,24.491417,11.212135,,28,3,24.644003,10.594036,,-29,3,24.70025,10.948973,
12/11/23,0,3,27.863998,21.650938,,1,3,27.504248,13.276144,,1,3,27.224669,15.034041,,9,3,25.758917,12.819235,,27,3,26.108084,12.387348,,30,3,25.591581,9.387651,,17,3,25.373922,14.689589,,42,2,24.491419,11.212135,,31,3,24.86275,12.324414,,-17,3,24.591917,13.039754,
13/11/23,0,63,27.041084,23.686249,,0,3,27.893835,14.934577,,6,3,27.443419,19.416653,,19,3,26.058916,12.261157,,32,3,25.695581,13.0447235,,19,3,25.302004,10.464797,,0,3,24.594751,15.745627,,11,3,23.980997,13.75558,,0,3,24.296083,13.084402,,-43,3,24.1065,13.493999,
14/11/23,0,63,25.44525,24.288662,,2,51,27.979246,14.689589,,2,3,27.143417,20.082708,,0,3,25.800585,15.072783,,18,3,24.941416,17.49615,,21,3,24.358252,14.291592,,33,3,24.084335,14.618837,,28,3,23.437254,10.8955765,,18,3,24.085669,11.27553,,-22,3,24.008581,11.620809,
15/11/23,1,63,24.053587,22.608458,,4,3,26.800081,10.883676,,1,3,26.903833,15.459054,,21,3,26.635996,18,,50,3,26.197664,20.08916,,53,3,25.854082,17.429354,,0,3,25.630165,15.745627,,17,3,24.835167,14.182355,,9,3,25.471083,13.237039,,-4,3,25.36275,13.905509,
16/11/23,8,51,26.918169,19.272614,,6,3,28.323,10.805998,,7,3,27.924665,11.681987,,22,3,26.783918,24.633049,,42,65,25.666412,27.511158,,41,63,25.493666,26.208397,,17,61,24.748919,24.130743,,13,51,24.53517,18.681883,,10,63,23.806503,19.373219,,-2,65,23.739832,19.862083,
17/11/23,0,53,27.50775,21.175837,,2,3,28.166754,12.475961,,2,3,27.749666,16.75064,,17,51,26.310997,14.345898,,30,3,26.220583,15.629971,,31,3,25.906166,13.896187,,5,3,25.417665,27.362366,,25,3,24.791414,23.233253,,24,53,24.271086,29.168886,,-4,51,24.12525,30.351225,
18/11/23,0,51,27.555662,20.972897,,33,3,28.108414,19.95972,,106,3,27.7955,21.659916,,139,51,25.958916,10.805998,,161,3,25.745584,13.551501,,158,51,25.535334,12.7279215,,100,3,25.534334,12.181625,,95,3,24.464334,11.212135,,91,3,23.766916,9.227524,,45,3,23.531502,9.904906,
19/11/23,0,51,27.249418,19.681828,,10,3,28.004248,16.75064,,20,3,27.491331,18.129137,,19,51,25.531836,14.512064,,35,3,24.989334,15.815435,,31,3,24.806162,13.276144,,31,3,24.609331,14.986553,,24,2,23.658081,12.55879,,28,2,23.625252,11.165805,,-1,2,23.610666,11.770403,
20/11/23,0,61,25.45775,21.188072,,3,51,27.227165,20.523155,,2,63,25.393415,21.41319,,8,63,25.331833,18.581022,,23,51,25.601831,15.546833,,41,3,25.093664,13.004922,,16,3,24.921831,14.05845,,11,3,24.258081,12.682018,,12,3,24.425247,9.565437,,-31,3,24.41275,9.904906,
21/11/23,0,65,25.426504,14.799459,,2,51,26.168833,18.678415,,5,61,25.553835,19.171478,,21,63,23.271416,12.313894,,34,53,24.23725,8.14587,,43,51,24.231169,6.4096174,,21,3,24.4135,12.245294,,14,3,23.528915,9.178235,,15,3,24.173162,9.779817,,-20,3,23.935669,10.182337,
22/11/23,5,53,26.284834,11.570515,,3,61,26.377161,15.84,,40,51,26.710083,14.345898,,56,3,24.842249,11.592895,,73,1,25.012253,12.475961,,71,1,24.783249,10.105681,,47,0,23.988503,9.779817,,44,0,22.512247,8.654986,,42,0,22.698166,9.585739,,-13,0,22.483583,10.97262,
23/11/23,0,61,25.809835,12.144331,,6,63,25.977163,16.199999,,0,53,26.518415,17.015474,,14,51,24.911003,10.829958,,36,0,24.472666,10.009036,,46,0,23.935333,9.346143,,0,0,22.965582,10.594036,,0,0,21.451834,9.255571,,7,0,22.527334,10.182337,,-23,0,22.523163,10.538843,
24/11/23,0,65,25.526499,16.24394,,13,51,26.88758,15.629971,,17,3,26.772585,20.598795,,27,3,24.652664,14.458382,,38,1,24.172668,11.246759,,48,1,23.831163,9.693296,,18,0,23.303083,12.224107,,9,0,21.93725,11.183201,,30,1,22.764833,9.885262,,8,2,22.95025,10.182337,
25/11/23,0,55,26.847338,19.406637,,9,51,27.127165,14.118243,,30,51,26.703835,18.089775,,27,3,24.57975,14.494192,,42,3,24.378922,13.493999,,36,3,23.96242,11.384198,,28,3,23.301,13.5515,,19,1,22.024752,11.620809,,20,2,22.702333,12.144331,,1,2,22.562752,12.661564,
26/11/23,0,63,26.168173,22.728518,,0,51,27.298002,14.386494,,5,3,26.599665,19.242327,,42,3,24.490166,13.1041975,,68,3,23.722666,13.276144,,67,3,23.3145,12.738099,,48,3,22.8635,12.758432,,32,2,21.978918,12.074766,,50,1,22.860666,12.429127,,0,1,23.044,12.496719,
27/11/23,0,55,26.739,16.93531,,9,3,27.060501,18.448023,,5,3,26.118414,20.957443,,19,3,23.942251,9.47012,,30,3,23.672667,8.161764,,46,3,23.168669,7.7879906,,34,3,23.148916,9.178235,,24,3,22.603918,7.10031,,26,3,23.212751,7.9036193,,9,3,23.32525,8.373386,
28/11/23,0,63,25.647331,19.201874,,3,3,27.245916,16.79314,,4,3,26.197584,16.394829,,28,3,23.748499,12.245293,,50,3,24.439333,8.942214,,44,3,24.3145,8.4042845,,15,3,23.638498,8.654986,,6,3,23.210165,9.605998,,29,3,23.754416,9.826088,,-5,3,23.619003,10.24578,
29/11/23,0,61,25.155668,19.191748,,0,51,26.658415,16.09969,,19,3,26.097586,17.373497,,26,3,23.85475,11.440979,,61,3,24.472666,10.195057,,51,3,24.487413,8.0899935,,36,3,24.311419,13.1041975,,27,3,23.733084,10.931203,,32,3,23.812752,7.8954163,,-2,3,23.785667,9.028754,
30/11/23,1,63,25.151503,15.021105,,0,3,27.160501,14.76439,,60,3,25.924665,19.201874,,65,3,24.583914,13.138765,,100,3,24.89975,10.239453,,99,3,24.568665,8.707238,,72,2,24.848913,9.3876505,,64,3,23.845587,8.891343,,72,3,23.80858,9.673221,,7,3,23.635668,9.673221,
01/12/23,0,61,26.816086,24.184391,,0,3,27.329252,16.485485,,2,3,26.591333,21.897945,,13,3,24.527664,14.154915,,30,3,24.428915,17.057314,,22,3,24.093668,14.77755,,33,3,24.578081,15.315873,,23,3,24.210169,13.237039,,29,3,24.094,14.145756,,-2,3,23.975252,14.587776,
02/12/23,1,63,25.345251,27.475807,,0,51,27.981333,20.892412,,1,3,27.366335,26.525429,,22,51,25.181831,20.12461,,43,3,24.822668,18.775303,,37,3,24.404083,17.22742,,46,3,24.528084,14.372974,,35,3,24.13725,11.901798,,36,3,23.93358,12.57426,,10,3,23.618998,11.177405,
03/12/23,,65,24.884832,38.344646,,,61,27.827166,27.25559,,,61,26.5205,26.576681,,,3,25.500582,17.974781,,,3,25.226831,19.376562,,,3,24.908247,16.645864,,,3,25.63225,14.799459,,,3,24.258085,11.966953,,,3,24.687752,10.636766,,,3,24.387747,10.931203,
04/12/23,,65,24.305666,50.148655,,,63,24.279251,29.644857,,,63,23.816336,29.275326,,,63,24.227669,14.205182,,,51,25.478922,14.799459,,,3,25.156164,13.246826,,,3,25.296837,12.397806,,,3,24.253916,11.792404,,,3,24.321085,12.313894,,,3,24.308586,12.819235,
05/12/23,,51,26.689001,21.313093,,,65,23.498001,31.76375,,,65,24.149672,31.170673,,,61,23.631834,13.896187,,,51,24.381002,15.463246,,,3,24.629084,14.408997,,,51,24.390585,14.05845,,,51,23.566416,14.84318,,,3,23.279419,14.561099,,,3,23.300253,13.896187,
06/12/23,5,63,26.028582,12.287555,,12,61,24.658415,17.884428,,18,55,24.224669,19.483284,,48,63,22.223497,14.471821,,80,63,22.755999,21.166653,,90,63,22.77492,19.469976,,64,65,22.8135,17.462784,,53,61,22.424751,14.05845,,66,63,22.92317,16.704155,,156,63,22.916918,16.323528,
07/12/23,0,61,25.474417,13.397612,,6,3,25.156334,8.557102,,5,55,25.376753,8.64,,25,61,23.229752,10.464797,,47,51,22.808083,18.089775,,61,3,22.618668,17.873556,,71,51,21.73642,14.759999,,66,63,19.943499,14.081478,,71,63,19.973166,13.513193,,302,63,20.041916,13.896187,
08/12/23,,53,26.445251,14.372974,,,3,25.185495,7.8625183,,,3,25.297585,8.854829,,,53,23.22558,14.081477,,,51,21.908083,12.074766,,,3,21.724916,10.703569,,,3,21.353086,18.374111,,,3,20.385164,13.37825,,,3,20.58775,13.363711,,,3,20.7065,13.849477,
09/12/23,6,51,26.891083,17.339897,,4,51,24.987581,8.913181,,5,3,25.310083,11.525623,,24,3,22.752665,11.966954,,43,51,22.841415,10.365251,,62,3,22.349916,8.654986,,32,2,21.388502,15.226764,,28,0,20.203917,13.75558,,38,2,20.446083,12.7279215,,1,3,20.439833,12.7279215,
10/12/23,0,3,26.818167,18.899143,,2,51,24.420912,8.587338,,6,3,24.705915,12.88981,,16,51,22.248499,9.085988,,37,2,21.43308,8.64,,45,0,21.062414,8.669949,,0,3,20.117666,11.966953,,8,0,18.889334,12.074766,,9,0,18.966917,11.966954,,2,0,18.98567,12.313894,
11/12/23,32,51,26.339003,17.10284,,30,3,24.100082,9.114471,,56,3,24.137167,13.5515,,74,3,21.894331,11.384199,,95,2,20.343498,11.019764,,119,2,20.104084,8.913181,,60,2,19.453085,14.77755,,64,0,17.703918,13.5515,,58,0,18.256502,14.039999,,16,1,18.364832,14.707222,
12/12/23,8,53,25.084837,18.161278,,12,51,24.237587,11.298495,,10,2,24.060083,14.021525,,37,2,20.785997,13.363711,,70,3,20.216413,9.673221,,93,3,20.106169,8.78872,,37,3,19.4135,10.931203,,32,3,17.516417,12.224107,,30,2,18.323166,8.78872,,8,3,18.37525,10.44,
13/12/23,9,51,25.643166,20.018072,,19,3,23.702162,8.473393,,43,3,24.13925,13.5515,,51,3,20.927666,11.681987,,107,3,20.853914,9.957108,,125,3,20.679083,7.208994,,62,3,19.963501,8.913181,,52,3,18.670582,8.4042845,,72,3,18.846083,9.885262,,41,3,19.408585,9.422101,
14/12/23,9,51,26.44525,22.218153,,7,3,23.539667,9.504272,,32,3,23.695501,13.627795,,54,3,21.275583,11.659777,,72,3,20.73725,9.339208,,79,3,20.449917,8.287822,,35,3,19.596834,9.885262,,27,3,17.814333,9.511088,,30,3,18.196085,10.464797,,5,3,18.246082,10.990322,
15/12/23,0,61,25.441088,23.441502,,0,3,24.460503,13.0447235,,30,3,25.035082,17.283749,,49,0,21.006832,9.957108,,59,0,20.0185,11.983188,,59,0,20.016586,10.383987,,46,0,18.505167,11.901798,,37,0,17.2685,12.074766,,33,0,17.723167,12.864649,,42,0,17.752333,13.32,
16/12/23,10,53,26.257751,22.59699,,8,3,24.370916,10.805998,,20,3,24.572584,15.141414,,38,1,20.711,11.367109,,60,0,19.808084,10.00256,,70,0,19.556166,8.4963045,,14,1,18.46975,13.493999,,3,0,17.2185,11.440978,,0,0,17.989834,10.390226,,-32,0,18.029415,11.013882,
17/12/23,1,51,26.393171,23.893261,,0,3,24.593836,12.864649,,0,3,24.32675,13.708391,,13,3,20.636003,11.609651,,32,3,19.6185,12.229406,,34,3,19.210333,10.296251,,14,2,18.209332,11.966953,,5,2,17.126833,10.495713,,2,3,17.802334,9.585739,,-42,3,17.877333,9.693296,
18/12/23,1,51,25.803587,24.75638,,0,3,24.337584,11.841756,,15,3,23.939249,14.84318,,49,3,20.781832,10.440001,,78,3,20.01225,11.4862,,81,3,19.454082,9.422101,,36,3,19.009333,13.722565,,34,3,17.970583,11.177405,,24,3,18.002333,10.390226,,-13,3,17.941917,11.304229,
19/12/23,0,3,26.29733,23.023117,,0,3,23.77925,11.27553,,17,3,23.56842,14.458382,,42,3,20.417248,10.948973,,64,3,19.37475,14.689588,,85,3,19.108252,12.313894,,41,3,19.088501,14.205182,,29,3,17.337252,11.720751,,22,3,17.464834,10.464797,,-29,3,17.341917,11.298495,
20/12/23,3,3,26.116083,21.67487,,4,3,23.758417,10.685391,,23,3,23.13925,14.689589,,39,3,19.66308,10.315115,,65,3,19.399748,12.10157,,73,3,18.858252,9.83268,,63,3,19.221836,15.158522,,52,3,18.033083,11.542478,,65,3,18.189835,11.367109,,34,3,18.075249,11.720751,
21/12/23,1,3,25.628588,20.188908,,6,1,23.150084,10.195057,,5,1,22.7455,12.849528,,30,3,19.498499,11.841756,,65,3,19.510166,10.009036,,78,3,19.108252,8.350138,,36,3,19.353085,11.525623,,25,3,18.128916,10.853866,,43,3,18.337751,9.346143,,45,3,18.266918,10.028439,
22/12/23,0,3,24.576502,17.87718,,0,3,23.158417,6.9527545,,25,3,23.276749,12.144331,,40,3,19.94225,11.753876,,55,3,20.066416,8.14587,,62,3,19.747831,6.3690495,,120,3,20.248915,11.113451,,110,3,19.060167,10.08,,99,3,19.506502,8.699793,,66,3,19.648169,9.346143,
23/12/23,1,3,24.503586,14.773164,,0,3,23.914667,11.592894,,53,3,23.616335,13.698934,,76,3,20.735998,12.413477,,100,3,21.051834,7.754637,,107,3,20.760334,7.8954163,,59,3,20.982248,11.090103,,58,3,19.918499,10.446206,,65,3,20.214834,8.4042845,,27,3,20.144003,9.360001,
24/12/23,8,51,25.830666,24.696102,,6,3,24.089666,11.753876,,34,3,23.778831,15.042659,,46,3,20.842249,10.495713,,65,3,21.199747,8.825508,,61,3,20.870752,8.669949,,92,1,20.871834,8.287822,,82,0,19.88725,11.177405,,40,3,19.560667,9.220499,,18,3,19.766916,9.178235,
25/12/23,0,51,25.264002,23.441502,,0,1,24.160498,12.181625,,5,1,24.160086,13.979871,,24,3,21.004747,12.819235,,42,3,20.985168,7.42159,,60,3,21.097834,10.009036,,49,1,20.998919,9.178235,,38,0,19.851835,9.028754,,34,0,20.635664,8.647496,,9,0,20.673166,9.746631,
26/12/23,8,51,25.28692,23.0653,,6,0,24.431334,13.237038,,5,1,24.441336,14.372974,,45,3,21.465164,11.183201,,61,3,21.162249,10.028439,,82,3,21.141582,8.209263,,73,1,20.821835,7.5942073,,61,0,19.395582,9.504272,,60,1,19.752333,9.3876505,,23,1,19.796083,10.446206,
27/12/23,5,51,26.06608,22.86496,,9,2,24.445915,13.513193,,19,1,24.312166,13.627795,,40,3,21.508913,12.10157,,90,3,21.393501,8.78872,,92,3,21.285334,9.114471,,58,0,21.107254,8.891343,,30,0,19.885166,8.759178,,55,3,20.629417,9.983106,,29,3,20.766918,10.144082,
28/12/23,0,51,25.995253,22.657131,,0,3,24.322998,15.7908325,,9,3,23.924667,17.298738,,20,3,21.636002,10.883676,,53,3,21.295582,9.693296,,101,3,21.131165,7.9932966,,118,3,21.288504,8.905908,,108,1,20.089334,8.557102,,141,1,20.091915,9.726665,,190,1,20.123169,10.105681,
29/12/23,1,51,25.834833,23.86341,,0,3,24.398,13.104198,,4,3,24.066336,15.315873,,29,3,21.204748,12.904882,,43,3,21.272667,11.384198,,95,3,21.035334,7.9932966,,50,3,21.501001,13.708391,,39,1,19.758083,12.245294,,41,0,20.1065,12.24,,155,0,20.039831,12.599999,
30/12/23,20,51,25.574417,18.79255,,25,3,23.752167,8.669949,,5,3,24.355913,14.654254,,33,3,21.448502,14.693999,,71,3,21.445581,9.422101,,77,3,21.216581,8.913181,,74,2,20.907251,14.587776,,79,1,19.439333,11.165805,,155,0,19.735668,13.1041975,,151,0,19.66067,13.32,
31/12/23,1,51,25.522337,17.566378,,0,3,24.385498,13.905509,,16,3,24.328833,18.919704,,40,3,21.396416,14.88242,,52,2,21.253914,12.819235,,72,0,20.94575,9.726664,,69,1,20.365582,12.758432,,59,3,18.887249,10.239453,,54,3,19.060665,11.165805,,11,3,19.075249,11.5199995,
01/01/24,0,3,25.56608,17.072504,,2,3,24.370916,14.277983,,1,3,24.228834,14.973576,,23,3,20.935999,14.20062,,40,0,20.774752,9.72,,40,3,20.379084,8.404285,,29,0,20.021833,11.177405,,19,0,18.52475,10.1376915,,14,0,18.769,10.829959,,4,0,18.794,11.090103,
02/01/24,2,3,25.734835,16.485485,,3,3,24.216751,16.135872,,4,1,24.026749,17.727943,,15,3,20.904749,14.982228,,45,3,20.706001,9.885262,,65,3,20.212416,9.726664,,47,0,19.263502,11.165805,,36,0,17.260166,10.661107,,39,0,16.937754,9.83268,,4,0,16.864834,10.661107,
03/01/24,0,3,26.205667,16.92383,,1,3,24.695913,17.873556,,5,3,23.49967,18.511143,,37,3,20.800585,14.264361,,63,3,19.956,11.966954,,75,3,19.847834,10.514218,,39,0,19.211418,12.641076,,30,0,17.595583,12.324414,,27,3,17.779417,9.83268,,1,3,18.152332,10.829958,
