Date,MMCT_Delay,weather_code_MMCT,Temperature_MMCT,Wind_Speed_MMCT,Distance_travelled_MMCT,BVI_Delay,weather_code_BVI,Temperature_BVI,Wind_Speed_BVI,Distance_travelled_BVI,BL_Delay,weather_code_BL,Temperature_BL,Wind_Speed_BL,Distance_travelled_BL,ST_Delay,weather_code_ST,Temperature_ST,Wind_Speed_ST,Distance_travelled_ST,BH_Delay,weather_code_BH,Temperature_BH,Wind_Speed_BH,Distance_travelled_BH,BRC_Delay,weather_code_BRC,Temperature_BRC,Wind_Speed_BRC,Distance_travelled_BRC,KOTA_Delay,weather_code_KOTA,Temperature_KOTA,Wind_Speed_KOTA,Distance_travelled_KOTA,SWM_Delay,weather_code_SWM,Temperature_SWM,Wind_Speed_SWM,Distance_travelled_SWM,MTJ_Delay,weather_code_MTJ,Temperature_MTJ,Wind_Speed_MTJ,Distance_travelled_MTJ,NZM_Delay,weather_code_NZM,Temperature_NZM,Wind_Speed_NZM,Distance_travelled_NZM
05/11/23,1,3,28.974833,21.96295,,10,3,28.904335,14.869351,,14,3,28.56275,19.083395,,6,3,28.512497,14.480773,,12,3,27.242498,16.808569,,19,0,26.687248,13.392774,,7,2,24.652666,11.090103,,9,1,25.206335,10.538843,,0,2,22.903414,12.313894,,11,0,22.578833,10.966713,
06/11/23,2,3,28.312332,25.212852,,25,3,28.439749,18.35647,,25,3,28.175255,19.734436,,20,3,28.658333,15.30741,,24,3,27.673754,14.578888,,29,2,26.966415,15.124284,,6,3,25.200583,8.350138,,8,3,25.26467,9.19939,,5,0,22.663834,8.825508,,1,2,21.960085,11.480557,
07/11/23,2,3,28.387335,30.684587,,12,3,28.106417,18.837324,,12,3,28.196083,20.111729,,23,3,27.9125,14.618837,,32,3,27.048754,15.379206,,38,1,26.516417,10.483357,,17,3,25.475586,10.105681,,17,1,25.5355,10.495713,,3,0,23.188833,9.387651,,13,1,22.428835,11.525623,
08/11/23,0,3,27.808167,35.369884,,11,3,28.023085,18.775301,,10,3,27.337751,16.23596,,12,3,28.131248,17.294992,,12,3,27.915419,10.182337,,4,0,26.6185,10.086427,,0,1,24.863085,10.041354,,4,3,25.352167,12.7279215,,6,2,22.486748,14.587776,,16,1,22.389252,10.495713,
09/11/23,1,53,28.10192,18.792551,,7,53,28.089752,18.161278,,3,2,28.423166,14.685176,,10,1,28.516663,12.10157,,12,0,28.407084,10.105681,,8,0,27.189337,11.435313,,1,3,25.4485,9.1641035,,0,3,25.787582,9,,8,51,23.22425,13.679999,,0,2,22.685087,10.464797,
10/11/23,2,3,27.897745,24.75638,,11,61,27.945997,15.192682,,19,3,29.014833,8.435069,,13,3,29.241669,8.707238,,13,0,28.588339,9.83268,,15,0,27.6435,9.565437,,6,3,25.192247,15.905319,,5,3,24.695917,14.77755,,9,63,21.390917,16.65754,,6,61,19.866335,17.654686,
11/11/23,0,3,28.799833,25.277023,,7,3,29.539747,19.09358,,12,3,30.048166,16.946787,,7,3,29.46875,17.447933,,7,2,28.18833,17.208603,,6,0,26.318504,13.627795,,1,0,21.748499,12.522619,,0,0,21.693832,9.904906,,7,0,20.226332,9.983106,,0,0,19.251753,12.10157,
12/11/23,0,3,29.08525,26.758923,,5,3,29.339752,18.014393,,2,3,28.841919,16.135872,,6,3,28.485418,13.708391,,5,3,27.00917,12.096214,,8,3,24.939333,12.819235,,1,3,21.946419,9.449572,,2,3,21.281334,9.19939,,0,1,19.12008,10.028439,,-3,0,18.866335,11.183201,
13/11/23,0,3,28.697754,23.584808,,6,3,27.989748,16.179985,,1,3,27.539835,17.068707,,0,3,27.637499,11.770403,,3,3,26.042501,11.620809,,17,3,24.783087,9.931042,,1,3,21.477663,10.028439,,9,3,21.814667,9.779817,,7,3,20.143002,8.891344,,10,3,19.255919,8.654987,
14/11/23,0,3,28.249832,20.188908,,9,3,27.312674,16.215992,,8,3,27.033583,15.827721,,5,3,27.406248,11.681987,,4,3,26.559166,12.074766,,10,3,25.506002,11.4862,,2,3,21.767248,8.209263,,8,3,21.531334,10.636766,,5,3,19.415918,8.311245,,-3,3,18.710083,8.942214,
