Date,RKMP_Delay,weather_code_RKMP,Temperature_RKMP,Wind_Speed_RKMP,Distance_travelled_RKMP,BPL_Delay,weather_code_BPL,Temperature_BPL,Wind_Speed_BPL,Distance_travelled_BPL,BINA_Delay,weather_code_BINA,Temperature_BINA,Wind_Speed_BINA,Distance_travelled_BINA,LAR_Delay,weather_code_LAR,Temperature_LAR,Wind_Speed_LAR,Distance_travelled_LAR,GWL_Delay,weather_code_GWL,Temperature_GWL,Wind_Speed_GWL,Distance_travelled_GWL,MRA_Delay,weather_code_MRA,Temperature_MRA,Wind_Speed_MRA,Distance_travelled_MRA,DHO_Delay,weather_code_DHO,Temperature_DHO,Wind_Speed_DHO,Distance_travelled_DHO,AGC_Delay,weather_code_AGC,Temperature_AGC,Wind_Speed_AGC,Distance_travelled_AGC,MTJ_Delay,weather_code_MTJ,Temperature_MTJ,Wind_Speed_MTJ,Distance_travelled_MTJ,NDLS_Delay,weather_code_NDLS,Temperature_NDLS,Wind_Speed_NDLS,Distance_travelled_NDLS
04-11-2023,7,1,23.783165,10.383987,0,9,1,23.776665,10.383987,7,10,2,24.232332,11.792404,145,17,3,23.458498,11.681987,208,10,3,24.454414,10.383987,395,20,3,24.314333,10.685391,433,23,3,23.74225,14.113652,461,34,3,23.622168,11.304229,513,51,3,23.001333,11.435313,567,59,3,22.791666,16.199999,707
05-11-2023,11,2,23.774832,10.495713,0,12,2,23.768332,10.495713,7,8,2,24.205248,10.587917,145,16,0,23.573084,10.446206,208,12,1,24.698164,14.982228,395,21,1,23.978918,12.538134,433,24,1,23.621414,15.2947035,461,8,1,23.113836,14.113652,513,14,2,22.903414,12.313894,567,23,0,22.737501,12.57426,707
06-11-2023,28,2,24.168585,10.365251,0,30,2,24.162085,10.365251,7,31,3,25.080248,11.659777,145,45,3,24.13767,12.181625,208,41,2,24.404419,9.504272,395,55,1,23.787249,10.239453,433,58,1,23.769335,10.144082,461,42,0,23.06383,8.404285,513,45,0,22.663834,8.825508,567,51,1,21.968752,9.085988,707
07-11-2023,101,2,24.062332,9.178235,0,102,2,24.055834,9.178235,7,98,3,24.6365,12.7279215,145,104,1,24.183496,10.799999,208,99,1,24.800255,10.990322,395,109,1,23.97058,9.9571085,433,112,1,23.833916,10.137692,461,97,0,23.62633,9.686609,513,103,0,23.188833,9.387651,567,113,0,22.679167,9.19939,707
08-11-2023,0,3,24.126915,11.384199,0,41,3,24.120415,11.384199,7,45,1,24.7115,11.609651,145,52,1,24.112665,10.829958,208,47,3,24.666916,12.287555,395,57,3,23.395584,11.966954,433,64,3,22.983915,12.324414,461,49,3,22.96383,13.37825,513,53,2,22.486748,14.587776,567,72,1,22.449999,10.703569,707
09-11-2023,30,2,24.181082,11.480557,0,31,2,24.174582,11.480557,7,34,3,24.93442,9,145,51,1,23.710585,9.931042,208,55,1,25.00025,12.768586,395,68,1,24.210165,9.6932955,433,72,2,24.615166,9.983106,461,57,3,23.817999,14.241629,513,64,51,23.22425,13.679999,567,72,1,22.666666,10.464798,707
10-11-2023,0,3,24.391502,13.708391,0,49,3,24.385,13.708391,7,54,2,25.40525,10.97262,145,64,2,24.366837,10.296251,208,57,53,23.88775,14.458382,395,73,51,23.262247,16.610792,433,79,65,22.896414,25.318008,461,64,63,21.938833,19.562946,513,74,63,21.390917,16.65754,567,88,55,19.864582,25.071096,707
11-11-2023,64,0,23.724836,15.328561,0,64,0,23.718332,15.328561,7,71,0,24.307333,15.175612,145,89,0,22.85225,12.599999,208,81,0,21.808584,13.276144,395,92,0,21.189333,12.849528,433,95,1,20.871416,12.413476,461,80,0,20.478418,10.587918,513,79,0,20.226332,9.983106,567,81,0,19.052084,11.770403,707
12-11-2023,1,3,21.368582,10.315115,0,3,3,21.362082,10.315115,7,0,3,22.153168,11.681987,145,11,3,20.821001,9.504272,208,2,3,21.348166,10.105681,395,14,3,20.601833,9.3669195,433,17,2,19.915167,9.422101,461,1,0,19.397167,10.315115,513,2,1,19.12008,10.028439,567,5,0,18.641668,11.592895,707
13-11-2023,0,3,20.924833,9,0,5,3,20.918333,9,7,1,3,22.192749,10.739832,145,13,3,20.656416,9.178235,208,5,3,21.423166,8.707238,395,20,3,20.720583,9.028754,433,25,3,20.619331,8.64,461,10,3,20.193,8.427383,513,10,3,20.143002,8.891344,567,13,3,19.320833,8.161764,707
14-11-2023,0,3,21.187332,11.090103,0,19,3,21.180832,11.090103,7,15,2,21.949,13.5515,145,25,3,20.479332,9.449572,208,17,3,21.00025,9.107359,395,22,3,20.974749,9.793058,433,26,3,20.286001,9.531505,461,9,3,19.734667,11.043261,513,9,3,19.415918,8.311245,567,13,3,18.697916,8.891344,707
15-11-2023,16,0,20.966497,12.682018,0,17,0,20.959997,12.682018,7,20,0,21.626085,12.88981,145,32,0,19.90225,9.885262,208,25,0,20.639833,8.587338,395,35,0,19.87058,9.565437,433,39,0,19.55475,7.9932966,461,24,0,19.203417,8.209263,513,25,0,18.797165,8.39657,567,26,0,18.558332,10.182337,707
16-11-2023,1,0,21.368582,13.684735,0,2,0,21.362082,13.684735,7,5,0,21.64692,12.55879,145,20,0,20.177248,9.107359,208,14,0,20.779417,10.163227,395,25,0,19.68725,9.904906,433,31,0,19.323496,9.885262,461,15,0,19.695082,9.422101,513,15,0,19.357582,8.404285,567,17,0,19.918749,6.439876,707
17-11-2023,46,0,20.789413,10.691453,0,49,0,20.782915,10.691453,7,46,0,20.871918,11.480557,145,58,0,19.948084,9.585739,208,50,1,20.444,8.854829,395,58,1,19.310167,9.605998,433,62,2,19.298498,9.19939,461,46,1,19.209665,9.028754,513,69,1,19.084663,8.350138,567,71,1,20.410418,8.287822,707
18-11-2023,14,0,21.433167,10.1887,0,16,0,21.426666,10.1887,7,13,0,22.130249,9.826088,145,33,0,20.381416,10.182337,208,26,2,21.029419,9.6932955,395,37,1,19.785168,9,433,45,3,19.442251,9.449572,461,30,3,19.940916,7.968939,513,34,3,19.028418,9.290511,567,39,2,19.872915,9.422101,707
19-11-2023,12,1,22.599829,10.966713,0,18,1,22.59333,10.966713,7,33,3,23.474005,12.538134,145,49,2,21.816832,11.525623,208,44,2,21.271082,8.78872,395,62,0,20.576834,9.422101,433,69,0,20.392248,7.9526596,461,62,0,19.259666,9.178235,513,68,0,18.843,10.144082,567,70,0,20.272917,10.829958,707
20-11-2023,25,2,22.949831,10.44,0,27,2,22.94333,10.44,7,30,3,23.415667,13.53236,145,55,1,21.741835,9.605998,208,48,1,21.48775,8.825508,395,60,0,20.897665,8.654986,433,65,0,20.304749,9.346143,461,50,0,20.286749,9.36,513,55,0,19.493,8.647496,567,60,0,18.877083,9.931042,707
21-11-2023,1,1,22.001915,11.592894,0,4,1,21.995415,11.592894,7,20,2,22.04483,9.422101,145,35,0,20.731417,9.007196,208,38,0,20.689837,10.195057,395,48,1,19.995583,10.514218,433,54,3,19.813082,11.183201,461,43,3,19.407583,13.089354,513,46,3,19.45133,13.397612,567,47,1,18.687502,16.746773,707
22-11-2023,52,0,21.441498,9.0645685,0,51,0,21.434998,9.0645685,7,71,0,21.659418,9.531505,145,87,0,20.1835,9.449572,208,80,0,20.164835,10.296251,395,94,0,19.326834,8.913181,433,97,0,18.886,10.195057,461,83,0,18.484667,9.47012,513,89,0,18.353416,9.028754,567,92,0,17.972916,14.154915,707
23-11-2023,20,3,21.533165,11.183201,0,21,3,21.526665,11.183201,7,21,1,21.501083,10.685391,145,34,0,19.612669,9.449572,208,27,0,19.252337,10.182337,395,41,0,18.672665,8.557102,433,47,0,18.717249,8.891344,461,31,0,17.715918,9.9571085,513,34,0,17.774248,10.495713,567,39,0,17.7875,8.209263,707
24-11-2023,7,0,21.131083,12.783802,0,9,0,21.124582,12.783802,7,20,0,20.778166,11.457958,145,31,0,18.73975,10.464798,208,25,0,19.852335,10.630672,395,36,0,18.733082,10.587917,433,42,1,18.881834,9.983106,461,27,2,18.6305,7.754637,513,31,2,18.522165,5.991594,567,34,2,18.233332,8.225035,707
25-11-2023,37,2,20.33733,11.966953,0,39,2,20.330832,11.966953,7,42,1,20.392752,13.246826,145,51,0,18.31475,10.24578,208,43,2,19.789835,9.387651,395,50,3,18.560163,8.759178,433,56,3,18.735998,10.028439,461,44,3,18.299248,10.009036,513,47,3,18.509665,9.511088,567,48,3,18.814583,7.6367526,707
26-11-2023,4,61,20.887331,12.303366,0,4,61,20.88083,12.303366,7,12,3,20.64483,14.689588,145,21,3,18.91475,10.137692,208,15,3,20.225252,12.7279215,395,26,3,19.866415,12.605142,433,30,3,19.415163,11.525623,461,16,3,19.186747,11.901798,513,20,3,19.247168,10.105681,567,22,3,19.229166,11.212135,707
27-11-2023,25,63,18.101913,15.192682,0,26,63,18.095413,15.192682,7,36,61,18.688583,16.299694,145,47,55,17.812668,13.281023,208,40,61,19.058582,15.281989,395,47,53,19.028917,14.494192,433,52,63,18.927668,13.004921,461,40,53,18.72633,14.986553,513,49,63,19.143,17.884428,567,54,53,18.418749,23.828083,707
