Date,MAS_Delay,weather_code_MAS,Temperature_MAS,Wind_Speed_MAS,Distance_travelled_MAS,BZA_Delay,weather_code_BZA,Temperature_BZA,Wind_Speed_BZA,Distance_travelled_BZA,EE_Delay,weather_code_EE,Temperature_EE,Wind_Speed_EE,Distance_travelled_EE,TDD_Delay,weather_code_TDD,Temperature_TDD,Wind_Speed_TDD,Distance_travelled_TDD,RJY_Delay,weather_code_RJY,Temperature_RJY,Wind_Speed_RJY,Distance_travelled_RJY,VSKP_Delay,weather_code_VSKP,Temperature_VSKP,Wind_Speed_VSKP,Distance_travelled_VSKP,BAM_Delay,weather_code_BAM,Temperature_BAM,Wind_Speed_BAM,Distance_travelled_BAM,KUR_Delay,weather_code_KUR,Temperature_KUR,Wind_Speed_KUR,Distance_travelled_KUR,BBS_Delay,weather_code_BBS,Temperature_BBS,Wind_Speed_BBS,Distance_travelled_BBS,CTC_Delay,weather_code_CTC,Temperature_CTC,Wind_Speed_CTC,Distance_travelled_CTC,JJKR_Delay,weather_code_JJKR,Temperature_JJKR,Wind_Speed_JJKR,Distance_travelled_JJKR,BHC_Delay,weather_code_BHC,Temperature_BHC,Wind_Speed_BHC,Distance_travelled_BHC,BLS_Delay,weather_code_BLS,Temperature_BLS,Wind_Speed_BLS,Distance_travelled_BLS,KGP_Delay,weather_code_KGP,Temperature_KGP,Wind_Speed_KGP,Distance_travelled_KGP,SRC_Delay,weather_code_SRC,Temperature_SRC,Wind_Speed_SRC,Distance_travelled_SRC,SHM_Delay,weather_code_SHM,Temperature_SHM,Wind_Speed_SHM,Distance_travelled_SHM
05/11/23,0.0,63.0,25.553587,11.090103,,0.0,53.0,26.839663,15.042659,,17.0,51.0,26.631834,15.575981,,4.0,51.0,26.706833,18.556595,,0.0,53.0,26.643415,15.315873,,2.0,61.0,26.85775,11.609651,,9.0,53.0,25.463083,9.6932955,,4.0,53.0,25.706,11.177405,,20.0,53.0,25.968496,10.799999,,41.0,53.0,25.706171,14.372974,,5.0,53.0,25.078505,11.966954,,20.0,55.0,24.557169,16.039202,,33.0,61.0,25.026,14.003029,,29.0,53.0,24.835167,13.202726,,20.0,61.0,25.225248,7.9932976,,-5.0,63.0,25.175253,8.473393,
06/11/23,0.0,63.0,26.199419,15.463246,,6.0,61.0,26.36675,15.256526,,18.0,63.0,26.088083,11.183201,,21.0,63.0,26.110998,17.462784,,15.0,63.0,26.164253,18.171976,,20.0,51.0,26.797335,16.418526,,34.0,61.0,25.650583,11.183201,,40.0,51.0,26.641413,11.480557,,60.0,51.0,26.747665,14.186923,,62.0,3.0,26.451998,11.988594,,2.0,3.0,26.101416,11.480557,,50.0,3.0,25.969671,12.738099,,38.0,3.0,25.921831,11.269782,,33.0,3.0,24.755999,9.726665,,25.0,3.0,24.966917,12.864649,,11.0,3.0,25.091917,13.556282,
07/11/23,3.0,63.0,26.268167,16.62249,,0.0,63.0,26.65425,13.363711,,10.0,65.0,25.813082,17.782686,,12.0,63.0,25.975584,13.5515,,1.0,63.0,26.418419,15.463244,,2.0,61.0,26.807749,16.862455,,28.0,3.0,26.042246,13.0447235,,26.0,3.0,26.395582,9.693296,,43.0,3.0,26.289331,8.049845,,32.0,3.0,25.864504,9.1641035,,6.0,3.0,25.182669,9.107359,,49.0,3.0,25.182167,9.255571,,39.0,3.0,24.778084,8.12197,,36.0,3.0,24.533081,9.028754,,28.0,3.0,24.558584,11.384198,,-24.0,3.0,24.539835,11.885453,
08/11/23,9.0,63.0,25.884834,17.174677,,7.0,63.0,26.4105,10.446206,,5.0,63.0,26.256836,9.605998,,53.0,63.0,26.1985,14.512064,,33.0,63.0,26.789248,9.007196,,35.0,51.0,27.368172,12.57426,,44.0,2.0,25.456835,10.799999,,51.0,2.0,25.599749,9.028754,,69.0,3.0,25.931,9.826088,,75.0,3.0,25.531168,8.049845,,25.0,1.0,25.055582,11.983188,,52.0,2.0,24.961332,10.086427,,47.0,1.0,24.513498,8.287822,,45.0,1.0,23.991415,8.28,,33.0,1.0,24.8565,10.799999,,-1.0,2.0,25.085663,10.948973,
09/11/23,0.0,63.0,25.736916,15.745627,,10.0,51.0,27.470915,11.246759,,24.0,3.0,27.238083,12.864649,,13.0,3.0,26.977667,12.758432,,25.0,3.0,27.057999,13.684735,,24.0,3.0,26.528582,15.629972,,43.0,2.0,24.363083,12.229406,,46.0,2.0,25.089334,9.957108,,60.0,0.0,25.091415,10.365251,,57.0,2.0,24.874916,8.766573,,15.0,3.0,24.54725,10.464798,,23.0,3.0,24.653006,7.8954163,,40.0,3.0,24.46975,10.805999,,38.0,1.0,24.145584,10.630672,,25.0,1.0,25.035666,9.028754,,-22.0,2.0,25.091919,9.360001,
10/11/23,0.0,51.0,27.753584,18.844202,,0.0,2.0,26.631332,11.252519,,13.0,3.0,26.252663,11.503113,,0.0,3.0,25.944334,13.556282,,5.0,3.0,26.349665,14.24163,,6.0,3.0,26.75358,13.556282,,31.0,3.0,25.102663,13.246826,,38.0,3.0,25.570581,9.085988,,54.0,3.0,25.483086,9.449572,,57.0,3.0,25.08325,9.19939,,41.0,3.0,24.657667,8.473393,,62.0,3.0,24.598831,7.92,,52.0,3.0,24.632254,12.959999,,50.0,3.0,24.8685,11.304229,,50.0,3.0,24.956497,12.496719,,2.0,3.0,25.121084,13.202726,
11/11/23,0.0,3.0,27.768167,21.897945,,4.0,3.0,26.925085,12.074766,,9.0,3.0,26.461,11.304229,,5.0,3.0,26.365166,11.91812,,0.0,3.0,26.714249,12.0694,,9.0,3.0,26.970251,15.281989,,11.0,3.0,25.421417,13.004922,,21.0,3.0,25.945581,9.107359,,37.0,3.0,26.024748,10.383987,,30.0,3.0,25.608248,8.854829,,0.0,3.0,25.359747,9.114471,,36.0,3.0,25.007166,8.350138,,40.0,3.0,25.290586,11.212135,,38.0,3.0,24.491417,11.212135,,28.0,3.0,24.644003,10.594036,,-29.0,3.0,24.70025,10.948973,
12/11/23,0.0,3.0,27.863998,21.650938,,1.0,3.0,27.504248,13.276144,,8.0,3.0,27.156836,11.609651,,11.0,3.0,26.9235,15.03835,,1.0,3.0,27.224669,15.034041,,0.0,3.0,27.151497,16.65754,,9.0,3.0,25.758917,12.819235,,12.0,3.0,25.970587,11.212135,,27.0,3.0,26.108084,12.387348,,30.0,3.0,25.591581,9.387651,,5.0,3.0,25.757662,9.220499,,9.0,3.0,25.28842,9.931042,,17.0,3.0,25.373922,14.689589,,42.0,2.0,24.491419,11.212135,,31.0,3.0,24.86275,12.324414,,-17.0,3.0,24.591917,13.039754,
13/11/23,0.0,63.0,27.041084,23.686249,,0.0,3.0,27.893835,14.934577,,11.0,3.0,27.694336,17.551615,,23.0,3.0,27.433914,18.043148,,6.0,3.0,27.443419,19.416653,,7.0,3.0,27.026499,18.888851,,19.0,3.0,26.058916,12.261157,,14.0,3.0,25.353918,12.181624,,32.0,3.0,25.695581,13.0447235,,19.0,3.0,25.302004,10.464797,,1.0,3.0,25.018084,10.495713,,0.0,3.0,25.036331,10.233123,,0.0,3.0,24.594751,15.745627,,11.0,3.0,23.980997,13.75558,,0.0,3.0,24.296083,13.084402,,-43.0,3.0,24.1065,13.493999,
14/11/23,0.0,63.0,25.44525,24.288662,,2.0,51.0,27.979246,14.689589,,2.0,3.0,27.73392,16.45007,,3.0,3.0,27.213083,18.532133,,2.0,3.0,27.143417,20.082708,,0.0,3.0,26.949411,21.758419,,0.0,3.0,25.800585,15.072783,,2.0,3.0,24.801834,16.363178,,18.0,3.0,24.941416,17.49615,,21.0,3.0,24.358252,14.291592,,6.0,3.0,24.097246,14.773164,,48.0,3.0,23.925917,14.689588,,33.0,3.0,24.084335,14.618837,,28.0,3.0,23.437254,10.8955765,,18.0,3.0,24.085669,11.27553,,-22.0,3.0,24.008581,11.620809,
