Date,LJN_Delay,weather_code_LJN,Temperature_LJN,Wind_Speed_LJN,Distance_travelled_LJN,BLM_Delay,weather_code_BLM,Temperature_BLM,Wind_Speed_BLM,Distance_travelled_BLM,HRI_Delay,weather_code_HRI,Temperature_HRI,Wind_Speed_HRI,Distance_travelled_HRI,SPN_Delay,weather_code_SPN,Temperature_SPN,Wind_Speed_SPN,Distance_travelled_SPN,BE_Delay,weather_code_BE,Temperature_BE,Wind_Speed_BE,Distance_travelled_BE,RMU_Delay,weather_code_RMU,Temperature_RMU,Wind_Speed_RMU,Distance_travelled_RMU,MB_Delay,weather_code_MB,Temperature_MB,Wind_Speed_MB,Distance_travelled_MB,AMRO_Delay,weather_code_AMRO,Temperature_AMRO,Wind_Speed_AMRO,Distance_travelled_AMRO,HPU_Delay,weather_code_HPU,Temperature_HPU,Wind_Speed_HPU,Distance_travelled_HPU,MTC_Delay,weather_code_MTC,Temperature_MTC,Wind_Speed_MTC,Distance_travelled_MTC
05-11-2023,1,1,23.304247,12.24,0,15,51,22.434664,8.089993,69,14,51,22.595835,12.245293,102,2,3,21.463333,12.10157,165,2,1,21.427917,10.966713,236,2,0,21.906082,11.304229,299,0,0,21.376081,11.252519,326,2,0,20.989,10.587917,357,2,0,20.888586,10.028439,430,-8,0,20.676334,11.609651,459
06-11-2023,0,2,22.668833,9.19939,0,26,0,22.426336,11.165805,69,23,0,22.3375,9.3876505,102,11,0,21.544584,9.779817,165,4,0,20.750837,9.779817,236,4,0,20.964417,9.83268,299,0,0,20.449,10.805998,326,17,2,20.514002,10.948973,357,5,0,21.159418,9.085988,430,-8,0,20.636751,10.1887,459
07-11-2023,31,0,23.360502,11.212135,0,46,0,22.62425,10.739832,69,46,0,22.572914,11.298495,102,37,0,21.692497,12.522619,165,33,0,20.771667,12.758432,236,46,0,21.008165,12.496719,299,37,0,20.711502,12.496719,326,51,0,20.8015,10.239453,357,41,0,21.23858,10.182337,430,28,0,20.98675,10.308831,459
08-11-2023,0,3,23.252167,11.901798,0,14,3,22.70758,9.826088,69,16,3,22.972918,10.383987,102,7,2,22.015413,10.182337,165,13,2,21.284166,11.966953,236,9,1,21.345667,10.853866,299,0,2,21.196917,11.252519,326,2,0,21.539,10.799999,357,0,1,21.494833,10.948973,430,-11,1,21.255499,11.367109,459
09-11-2023,0,0,23.464666,14.654254,0,11,3,22.9805,13.397612,69,32,3,22.98958,13.37825,102,18,3,22.184166,12.57426,165,22,3,21.8175,12.413476,236,22,1,21.88317,13.708391,299,0,0,21.432333,12.768586,326,18,1,21.409836,10.137692,357,15,2,22.274,8.217153,430,0,2,22.467997,8.766573,459
10-11-2023,0,53,23.366747,10.009036,0,1,3,22.793,11.013882,69,2,53,22.979166,11.609651,102,3,51,22.292498,13.527572,165,3,51,21.125834,16.80857,236,13,55,20.906084,15.941944,299,0,53,20.669834,17.429354,326,4,53,20.182753,21.9718,357,0,53,19.576082,15.408671,430,-13,61,19.484667,13.246826,459
11-11-2023,0,53,21.552164,13.397612,0,9,51,21.92842,10.440001,69,12,2,21.693748,12.074766,102,3,0,20.855001,9.504272,165,8,0,20.61333,10.44,236,16,0,20.41442,12.7279215,299,0,0,20.155249,11.91812,326,2,0,19.838999,11.212135,357,2,0,19.046919,10.883676,430,5,0,18.842999,12.096214,459
12-11-2023,0,0,21.079248,9.220499,0,6,0,20.340916,10.1887,69,3,0,20.279165,10.966713,102,2,0,19.68625,10.948973,165,0,0,19.277916,10.948973,236,6,0,19.064415,12.015589,299,2,0,19.259417,12.144331,326,5,0,18.966084,12.224107,357,3,0,18.576082,10.966713,430,0,0,18.56175,11.91812,459
13-11-2023,0,3,21.55425,9.3669195,0,10,3,20.645082,9.021574,69,9,3,20.81042,8.4963045,102,10,3,19.915415,9.021574,165,19,3,19.407084,8.78872,236,25,3,19.387333,8.707238,299,10,3,19.474,8.435069,326,12,3,19.10775,9.178235,357,4,3,18.590666,8.707237,430,0,3,18.486748,9.726664,459
14-11-2023,0,3,21.193834,8.654987,0,6,3,20.3555,8.669949,69,5,3,21.020834,7.24486,102,2,3,19.855001,8.049845,165,3,3,19.244581,7.8625183,236,7,3,19.416496,8.587338,299,0,3,19.463583,8.39657,326,3,3,19.001501,8.891343,357,2,3,18.090668,8.707237,430,-14,3,18.107584,9.686609,459
15-11-2023,0,2,20.302168,9.178235,0,8,0,20.005499,7.9932976,69,5,0,20.372915,8.311245,102,10,0,19.811249,8.28,165,19,0,19.3925,7.9932976,236,21,0,19.212332,7.968939,299,7,0,19.078165,9.983106,326,6,0,19.095251,9.227524,357,2,0,18.01775,9.387651,430,-10,0,18.067999,10.144082,459
16-11-2023,0,0,21.158415,9.449572,0,31,0,21.063833,9.028754,69,30,0,21.179167,7.5942082,102,44,0,20.321665,8.707238,165,76,1,20.032084,7.69592,236,75,2,20.04775,7.342588,299,74,2,19.613585,7.289444,326,82,1,20.286919,8.209263,357,77,0,19.503164,8.311245,430,66,0,19.61383,7.42159,459
17-11-2023,0,0,21.206331,9.178235,0,51,0,20.872164,8.209263,69,50,0,21.15,9.255571,102,37,1,20.663334,8.714677,165,40,0,20.202917,9.1641035,236,48,3,20.083162,7.9932976,299,30,3,19.886501,8.891344,326,34,3,19.928585,10.440001,357,14,2,20.194834,8.647496,430,0,3,19.853415,9.255571,459
18-11-2023,0,1,20.525084,8.534353,0,48,1,20.2055,9.360001,69,48,2,20.150003,10.1887,102,31,3,20.1925,9.0645685,165,28,3,19.638332,8.557102,236,63,1,19.578999,9.511088,299,60,1,19.499002,8.427383,326,65,2,19.845251,9.0645685,357,50,1,20.171915,7.9526596,430,65,1,20.011747,8.557102,459
19-11-2023,0,1,21.73133,8.4963045,0,3,0,20.082584,10.195057,69,0,1,20.135416,10.365251,102,2,0,19.446665,10.086427,165,11,0,19.282085,8.311245,236,20,0,19.49983,9.904906,299,20,0,19.415665,9.885262,326,24,0,19.347334,9.387651,357,6,1,19.092749,10.009036,430,-2,1,18.903418,10.144082,459
20-11-2023,0,0,20.447996,11.27553,0,8,0,19.909666,12.144331,69,5,0,19.725,11.5199995,102,3,0,19.196669,9.3876505,165,1,0,19.009167,8.825508,236,10,0,19.126917,8.287822,299,1,0,19.18025,9,326,5,0,18.961916,8.766573,357,0,0,18.01775,10.144082,430,-2,0,18.297163,10.028439,459
21-11-2023,0,0,20.27508,14.332341,0,27,1,19.728415,13.661038,69,32,2,19.7875,14.689589,102,37,0,19.319582,15.745627,165,44,0,19.344584,16.24394,236,62,1,19.439417,18.1041,299,37,1,19.378168,17.992796,326,61,0,19.064001,17.114204,357,44,0,18.73025,15.315873,430,33,3,18.834665,16.904673,459
22-11-2023,0,0,19.081335,10.829959,0,9,0,18.276333,11.27553,69,7,0,18.310415,11.720751,102,2,0,17.85708,12.324414,165,2,0,17.56125,11.252519,236,18,0,17.951916,9.746631,299,10,0,17.615667,10.787993,326,14,0,17.278584,11.27553,357,10,0,17.37192,12.313893,430,-2,0,17.565916,13.556282,459
23-11-2023,210,0,19.348,8.049845,0,235,0,18.388832,9.360001,69,233,0,18.33125,9.3669195,102,260,0,18.482082,8.311245,165,273,3,17.998749,7.127636,236,287,3,17.493582,6.1094027,299,284,3,17.140665,8.714677,326,288,3,18.195251,7.729527,357,277,0,17.98025,8.161764,430,270,0,18.0305,8.350138,459
