Date,JBP_Delay,weather_code_JBP,Temperature_JBP,Wind_Speed_JBP,Distance_travelled_JBP,MML_Delay,weather_code_MML,Temperature_MML,Wind_Speed_MML,Distance_travelled_MML,SRID_Delay,weather_code_SRID,Temperature_SRID,Wind_Speed_SRID,Distance_travelled_SRID,NU_Delay,weather_code_NU,Temperature_NU,Wind_Speed_NU,Distance_travelled_NU,KY_Delay,weather_code_KY,Temperature_KY,Wind_Speed_KY,Distance_travelled_KY,GAR_Delay,weather_code_GAR,Temperature_GAR,Wind_Speed_GAR,Distance_travelled_GAR,PPI_Delay,weather_code_PPI,Temperature_PPI,Wind_Speed_PPI,Distance_travelled_PPI,ET_Delay,weather_code_ET,Temperature_ET,Wind_Speed_ET,Distance_travelled_ET,NDPM_Delay,weather_code_NDPM,Temperature_NDPM,Wind_Speed_NDPM,Distance_travelled_NDPM,RKMP_Delay,weather_code_RKMP,Temperature_RKMP,Wind_Speed_RKMP,Distance_travelled_RKMP
18/12/23,,3.0,14.524915,13.896187,,,3.0,14.641915,13.896187,,,3.0,15.257916,12.074766,,,3.0,15.27625,12.88981,,,3.0,15.310916,12.031756,,,3.0,15.755918,11.753876,,,3.0,15.946334,13.397612,,,3.0,16.867002,15.379206,,,73.0,-4.8172503,25.7041,,,71.0,-9.490168,27.155552,
19/12/23,,3.0,13.645751,10.24578,,,3.0,13.762752,10.24578,,,3.0,14.299583,9.826088,,,3.0,14.351249,9.19939,,,3.0,14.587998,11.090103,,,3.0,14.610084,9.72,,,3.0,14.713,12.24,,,3.0,15.596166,15.1884165,,,73.0,-6.2526665,27.56058,,,3.0,-13.558917,29.660152,
20/12/23,,3.0,13.924919,9.931042,,,3.0,14.041917,9.931042,,,3.0,14.84333,10.163227,,,3.0,15.276253,9.227524,,,3.0,15.048419,9.255571,,,3.0,14.96217,11.874544,,,3.0,15.4255,12.181625,,,3.0,16.283667,15.141414,,,71.0,-11.363083,34.981182,,,3.0,-16.975584,32.84494,
21/12/23,,3.0,16.202,8.39657,,,3.0,16.319002,8.39657,,,3.0,16.368332,6.989936,,,3.0,16.309586,7.729527,,,3.0,16.07342,7.5685663,,,3.0,16.693417,9.422101,,,3.0,16.633835,9.0,,,3.0,17.717001,12.864649,,,71.0,-14.533916,38.48129,,,3.0,-18.794336,30.652895,
22/12/23,,3.0,16.254084,9.1641035,,,3.0,16.371084,9.1641035,,,3.0,17.157915,8.707237,,,3.0,16.976252,8.12197,,,3.0,16.91925,8.557102,,,3.0,17.70175,7.9036193,,,3.0,18.031752,9.72,,,3.0,18.62325,11.885453,,,3.0,-19.323498,32.489876,,,71.0,-20.70267,39.6752,
23/12/23,,3.0,16.352,10.948973,,,3.0,16.469,10.948973,,,3.0,17.151665,9.47012,,,3.0,17.080416,9.746631,,,3.0,16.971334,9.0,,,3.0,18.049667,12.224107,,,3.0,18.306747,10.829958,,,3.0,18.906582,11.966953,,,2.0,-23.113083,17.551615,,,71.0,-21.200584,36.452553,
24/12/23,,0.0,17.093668,10.464797,,,0.0,17.210669,10.464797,,,0.0,17.649582,9.19939,,,0.0,17.659586,9.114471,,,0.0,17.538,8.905908,,,0.0,18.270498,12.413476,,,0.0,18.704664,10.483357,,,0.0,19.417,12.768586,,,3.0,-27.600584,20.478907,,,3.0,-25.261,14.081477,
25/12/23,,0.0,16.7645,10.594036,,,0.0,16.8815,10.594036,,,0.0,17.39125,9.726664,,,0.0,17.432503,9.178235,,,0.0,17.346334,7.9526596,,,0.0,18.353832,11.090103,,,0.0,18.523417,9.693296,,,0.0,19.335752,11.113451,,,73.0,-19.642248,46.60853,,,71.0,-25.350584,38.268524,
26/12/23,,0.0,16.683249,11.090103,,,0.0,16.80025,11.090103,,,0.0,16.905832,10.30883,,,1.0,17.115835,8.089993,,,2.0,17.104666,9.3669195,,,1.0,18.378832,11.165805,,,0.0,18.269249,10.00256,,,0.0,19.350332,10.296251,,,73.0,-9.86725,43.60163,,,71.0,-18.513084,47.247856,
27/12/23,25.0,3.0,16.479082,10.8955765,,30.0,3.0,16.596083,10.8955765,,41.0,3.0,17.207916,9.0,,47.0,3.0,17.342916,8.64,,54.0,3.0,17.550503,8.707238,,52.0,3.0,18.16425,11.966954,,49.0,3.0,18.64425,9.255571,,51.0,3.0,19.60658,11.841756,,50.0,73.0,-8.650582,34.57687,,49.0,71.0,-12.96725,34.92742,
