Date,SBC_Delay,weather_code_SBC,Temperature_SBC,Wind_Speed_SBC,Distance_travelled_SBC,BNC_Delay,weather_code_BNC,Temperature_BNC,Wind_Speed_BNC,Distance_travelled_BNC,CRLM_Delay,weather_code_CRLM,Temperature_CRLM,Wind_Speed_CRLM,Distance_travelled_CRLM,HSRA_Delay,weather_code_HSRA,Temperature_HSRA,Wind_Speed_HSRA,Distance_travelled_HSRA,DPJ_Delay,weather_code_DPJ,Temperature_DPJ,Wind_Speed_DPJ,Distance_travelled_DPJ,SA_Delay,weather_code_SA,Temperature_SA,Wind_Speed_SA,Distance_travelled_SA,SGE_Delay,weather_code_SGE,Temperature_SGE,Wind_Speed_SGE,Distance_travelled_SGE,ED_Delay,weather_code_ED,Temperature_ED,Wind_Speed_ED,Distance_travelled_ED,TUP_Delay,weather_code_TUP,Temperature_TUP,Wind_Speed_TUP,Distance_travelled_TUP,CBE_Delay,weather_code_CBE,Temperature_CBE,Wind_Speed_CBE,Distance_travelled_CBE,PGT_Delay,weather_code_PGT,Temperature_PGT,Wind_Speed_PGT,Distance_travelled_PGT,TCR_Delay,weather_code_TCR,Temperature_TCR,Wind_Speed_TCR,Distance_travelled_TCR,AWY_Delay,weather_code_AWY,Temperature_AWY,Wind_Speed_AWY,Distance_travelled_AWY,ERS_Delay,weather_code_ERS,Temperature_ERS,Wind_Speed_ERS,Distance_travelled_ERS
05/11/23,4.0,63.0,22.268747,13.084402,,7.0,63.0,22.132248,13.084402,,,63.0,22.347166,13.392774,,17,63.0,22.028915,14.007655,,29,61.0,24.247833,12.181625,,22,53.0,25.717165,10.97262,,16,61.0,25.251837,10.787993,,11,63.0,25.471914,12.10157,,1,63.0,24.261335,13.979872,,12,53.0,23.847418,11.720751,,3.0,61.0,25.506834,14.021525,,7,65.0,25.382416,9.220499,,14,65.0,25.359915,9.693296,,18,63.0,25.851748,9.957108,
06/11/23,1.0,65.0,22.34375,9.36,,4.0,65.0,22.20725,9.36,,,65.0,22.447168,9.931042,,18,65.0,22.056,12.218805,,26,63.0,25.058249,10.829958,,24,61.0,26.142166,9.220499,,25,65.0,26.133085,10.1887,,19,53.0,26.790665,5.937272,,19,63.0,25.540503,8.647496,,25,55.0,24.553667,11.019764,,0.0,63.0,26.400583,10.1887,,16,61.0,26.80533,7.5685663,,15,61.0,26.270334,9.585739,,18,63.0,26.54966,10.495713,
07/11/23,1.0,63.0,22.210417,16.327497,,4.0,63.0,22.073915,16.327497,,,63.0,22.257584,11.5199995,,21,61.0,21.976835,12.224107,,30,63.0,24.145754,11.183201,,21,63.0,25.28592,9.290511,,29,63.0,25.301832,11.592895,,22,63.0,25.6865,11.159999,,20,63.0,25.10092,10.00256,,27,63.0,24.45575,10.948973,,28.0,63.0,26.192245,12.413476,,22,63.0,26.288666,13.684735,,21,65.0,25.793251,9.422101,,25,65.0,26.239248,11.440979,
08/11/23,2.0,65.0,22.368752,13.570615,,6.0,65.0,22.232248,13.570615,,,65.0,22.555502,11.570515,,16,55.0,22.39975,15.03835,,29,53.0,24.093668,18.014393,,14,63.0,24.756752,10.296251,,30,55.0,25.0935,11.609651,,25,61.0,25.576082,11.525623,,25,63.0,24.79883,8.707237,,21,63.0,24.222414,12.224107,,12.0,63.0,25.738081,9.346143,,11,63.0,26.184504,14.003028,,14,63.0,25.814085,10.24578,,16,65.0,26.028831,8.373386,
09/11/23,2.0,63.0,22.172915,17.31746,,3.0,63.0,22.03642,17.31746,,,53.0,22.113832,18.532133,,23,55.0,21.891418,15.629972,,31,61.0,24.187414,15.1884165,,26,63.0,24.708834,9.227524,,29,65.0,24.880997,9.746631,,23,63.0,25.634417,10.308831,,20,61.0,24.909254,9.3876505,,33,63.0,24.276579,12.538134,,15.0,65.0,25.560999,12.879752,,26,53.0,25.70533,10.495713,,15,53.0,25.405748,11.090103,,15,55.0,26.024664,9.449572,
10/11/23,2.0,51.0,22.475,18.416384,,8.0,51.0,22.338501,18.416384,,,51.0,22.384666,17.057314,,26,51.0,22.166418,17.283749,,35,51.0,24.460335,16.700275,,49,61.0,25.437998,7.42159,,43,51.0,25.743502,13.608762,,38,51.0,26.313583,13.004922,,32,61.0,25.173838,12.181624,,38,61.0,24.320333,17.148247,,27.0,51.0,26.888079,19.443333,,24,61.0,26.842834,20.46941,,14,65.0,25.657835,9.422101,,18,61.0,26.237165,11.792404,
11/11/23,0.0,3.0,21.65625,18.511143,,2.0,3.0,21.519753,18.511143,,,3.0,21.478416,17.731598,,20,3.0,21.324753,17.283749,,38,3.0,23.84992,16.676977,,66,51.0,24.627584,7.928177,,60,51.0,26.172663,12.229406,,53,51.0,26.257332,12.4811535,,45,53.0,25.317583,14.021525,,50,61.0,24.670334,16.08761,,40.0,51.0,27.28392,19.110542,,43,53.0,27.442833,19.130875,,26,63.0,26.52867,10.233123,,27,53.0,27.195498,10.587917,
12/11/23,2.0,3.0,21.260414,21.313093,,4.0,3.0,21.123919,21.313093,,,3.0,20.932583,19.35314,,16,3.0,21.076834,18.861387,,26,3.0,23.593668,15.509274,,13,3.0,24.060915,6.439876,,17,3.0,25.358084,13.202726,,11,3.0,25.551086,14.759999,,3,3.0,24.903,14.186923,,6,3.0,23.872414,15.124284,,0.0,3.0,26.133911,19.06301,,1,3.0,26.894915,20.326454,,17,3.0,26.241167,10.805998,,22,3.0,26.953829,13.202726,
13/11/23,1.0,3.0,21.816666,21.41319,,3.0,3.0,21.680168,21.41319,,,3.0,21.682587,20.345573,,17,51.0,21.662252,18.998314,,23,53.0,24.797834,16.071491,,20,61.0,25.523417,9.021574,,14,61.0,26.32475,12.371645,,9,51.0,26.553164,12.620554,,7,3.0,25.665504,11.269782,,16,3.0,24.48075,14.529915,,0.0,3.0,26.133913,18.733839,,0,3.0,26.661585,19.652176,,19,3.0,26.287003,14.186923,,19,3.0,27.089249,15.021105,
14/11/23,2.0,51.0,20.922916,19.13426,,6.0,51.0,20.786417,19.13426,,,53.0,20.77425,16.434305,,27,53.0,20.574753,19.67195,,39,61.0,22.558252,15.778516,,20,61.0,23.667168,13.324863,,38,63.0,23.933083,15.978486,,34,61.0,24.807333,16.923828,,26,3.0,24.436338,16.418526,,26,3.0,23.561998,17.727943,,13.0,3.0,26.038084,18.64369,,9,3.0,27.503244,17.414474,,14,51.0,26.145332,7.754637,,19,53.0,26.341333,11.440979,
