Date,HYB_Delay,weather_code_HYB,Temperature_HYB,Wind_Speed_HYB,Distance_travelled_HYB,BMT_Delay,weather_code_BMT,Temperature_BMT,Wind_Speed_BMT,Distance_travelled_BMT,VKB_Delay,weather_code_VKB,Temperature_VKB,Wind_Speed_VKB,Distance_travelled_VKB,TDU_Delay,weather_code_TDU,Temperature_TDU,Wind_Speed_TDU,Distance_travelled_TDU,CT_Delay,weather_code_CT,Temperature_CT,Wind_Speed_CT,Distance_travelled_CT,WADI_Delay,weather_code_WADI,Temperature_WADI,Wind_Speed_WADI,Distance_travelled_WADI,KLBG_Delay,weather_code_KLBG,Temperature_KLBG,Wind_Speed_KLBG,Distance_travelled_KLBG,GUR_Delay,weather_code_GUR,Temperature_GUR,Wind_Speed_GUR,Distance_travelled_GUR,SUR_Delay,weather_code_SUR,Temperature_SUR,Wind_Speed_SUR,Distance_travelled_SUR,KWV_Delay,weather_code_KWV,Temperature_KWV,Wind_Speed_KWV,Distance_travelled_KWV,PUNE_Delay,weather_code_PUNE,Temperature_PUNE,Wind_Speed_PUNE,Distance_travelled_PUNE,KYN_Delay,weather_code_KYN,Temperature_KYN,Wind_Speed_KYN,Distance_travelled_KYN,DR_Delay,weather_code_DR,Temperature_DR,Wind_Speed_DR,Distance_travelled_DR,CSMT_Delay,weather_code_CSMT,Temperature_CSMT,Wind_Speed_CSMT,Distance_travelled_CSMT
05/11/23,0.0,3.0,25.309336,12.758432,,5.0,3.0,25.217085,11.440978,,11.0,3.0,24.958166,13.363711,,19.0,3.0,25.797583,11.592895,,15.0,3.0,27.265831,14.255272,,29.0,3.0,27.578085,15.021105,,26.0,3.0,27.163588,14.773164,,26.0,3.0,28.22467,13.513193,,32.0,3.0,28.904413,24.774696,,43.0,3.0,28.335253,25.812277,,67.0,3.0,25.652502,13.722565,,67.0,3.0,28.74617,12.397806,,37.0,3.0,28.838501,15.463246,,27.0,3.0,28.961832,21.96295,
06/11/23,3.0,63.0,24.663504,13.849477,,7.0,61.0,24.598335,13.5515,,20.0,63.0,24.168587,15.463244,,25.0,65.0,25.185087,14.372974,,20.0,63.0,26.230417,14.24163,,31.0,61.0,26.471832,14.081477,,24.0,51.0,26.553167,16.79314,,44.0,3.0,27.589249,14.05845,,46.0,3.0,28.766912,21.734581,,39.0,3.0,28.139418,23.708124,,56.0,3.0,24.823332,15.137133,,54.0,3.0,27.869085,11.503113,,23.0,3.0,28.340584,21.09305,,27.0,3.0,28.299332,25.212852,
07/11/23,4.0,61.0,24.213501,14.205182,,8.0,61.0,24.052498,13.363711,,7.0,63.0,23.851915,14.77755,,11.0,53.0,25.118416,14.471821,,3.0,65.0,26.074167,20.140705,,36.0,63.0,26.521835,20.26899,,24.0,61.0,26.017748,17.698677,,25.0,61.0,26.712166,14.33234,,27.0,51.0,26.789831,21.611996,,20.0,55.0,27.756083,15.281989,,45.0,3.0,26.369165,15.463246,,58.0,3.0,28.229502,15.349684,,19.0,3.0,28.01975,22.553936,,20.0,3.0,28.374334,30.684587,
08/11/23,1.0,63.0,24.290586,11.183201,,2.0,53.0,24.112917,12.015589,,45.0,63.0,23.416502,14.57889,,51.0,63.0,24.439253,13.363711,,64.0,63.0,24.753332,21.986542,,67.0,63.0,24.753084,18.014393,,84.0,61.0,24.390663,16.65754,,87.0,61.0,24.9955,17.673029,,90.0,63.0,25.306503,16.75064,,85.0,65.0,25.051916,14.205182,,88.0,53.0,24.702501,16.676977,,92.0,51.0,28.79825,12.738099,,47.0,3.0,28.034332,22.782625,,56.0,3.0,27.795166,35.369884,
09/11/23,1.0,3.0,24.555166,11.298495,,7.0,51.0,24.583748,11.269782,,15.0,51.0,23.84567,18.0,,34.0,53.0,24.558,13.324863,,30.0,61.0,24.515833,10.853866,,36.0,61.0,24.509333,15.042659,,54.0,55.0,24.182335,14.799459,,55.0,61.0,24.601751,13.627795,,58.0,61.0,25.012749,16.676977,,52.0,51.0,25.149836,18.35647,,62.0,63.0,24.256666,15.042659,,63.0,51.0,28.556587,17.555307,,13.0,51.0,28.615583,15.328561,,10.0,53.0,28.088919,18.792551,
10/11/23,1.0,3.0,24.432253,11.113451,,6.0,3.0,24.342085,11.542478,,0.0,3.0,24.304,14.458382,,4.0,3.0,25.172585,11.113451,,5.0,3.0,25.72833,10.028439,,11.0,51.0,25.89475,10.009036,,32.0,61.0,25.565666,11.753877,,34.0,3.0,25.8955,12.096214,,37.0,3.0,26.191916,12.641076,,33.0,3.0,25.856085,13.608762,,58.0,61.0,24.071249,13.684735,,61.0,63.0,28.102419,18.345877,,13.0,51.0,28.19683,18.947083,,7.0,3.0,27.884745,24.75638,
11/11/23,4.0,3.0,24.471834,10.538843,,12.0,3.0,24.587915,10.1376915,,40.0,3.0,23.889418,12.979984,,43.0,3.0,24.630915,11.620809,,39.0,3.0,25.480417,11.874544,,41.0,3.0,25.723917,13.039754,,31.0,3.0,25.473999,10.948973,,34.0,3.0,25.868418,11.966953,,36.0,3.0,26.366915,14.291592,,30.0,3.0,27.149834,12.10157,,46.0,3.0,25.20667,14.05845,,47.0,3.0,29.175337,8.891343,,13.0,3.0,29.471834,21.068459,,22.0,3.0,28.786833,25.277023,
12/11/23,2.0,3.0,24.796835,11.792404,,15.0,3.0,25.031668,12.031756,,22.0,3.0,24.458162,15.2947035,,32.0,3.0,25.233002,13.527572,,28.0,3.0,25.778334,12.879752,,33.0,3.0,26.005165,14.88242,,22.0,3.0,25.630247,14.182355,,24.0,3.0,26.197584,13.910169,,30.0,3.0,26.58983,14.799459,,26.0,3.0,27.356085,20.073025,,35.0,3.0,24.99208,13.441071,,38.0,3.0,29.146166,14.565548,,12.0,3.0,29.186417,22.702845,,9.0,3.0,29.07225,26.758923,
13/11/23,0.0,3.0,24.644747,9.255571,,11.0,3.0,24.575417,9.346143,,9.0,3.0,24.081085,13.627795,,22.0,3.0,24.749666,11.928989,,23.0,3.0,25.419998,10.105681,,26.0,3.0,25.521833,12.031756,,50.0,3.0,25.124002,10.538843,,53.0,3.0,25.558004,11.090103,,57.0,3.0,25.908583,13.281023,,50.0,3.0,26.610252,21.068459,,66.0,3.0,24.381668,7.5942073,,69.0,3.0,28.471167,14.759999,,15.0,3.0,27.978083,18.289274,,4.0,3.0,28.684753,23.584808,
14/11/23,0.0,3.0,24.32392,9.746631,,5.0,3.0,24.242086,11.681987,,0.0,3.0,24.126917,13.1041975,,5.0,3.0,24.985083,10.24578,,6.0,3.0,25.68875,9.793058,,9.0,3.0,25.553083,11.304229,,1.0,3.0,25.17608,12.620554,,2.0,3.0,25.557999,10.028439,,4.0,3.0,26.058584,10.823973,,13.0,3.0,26.929,14.84318,,41.0,3.0,24.52125,10.390226,,46.0,3.0,27.764915,10.105681,,1.0,3.0,27.551,17.298738,,28.0,3.0,28.236832,20.188908,
