Date,SC_Delay,weather_code_SC,Temperature_SC,Wind_Speed_SC,Distance_travelled_SC,WL_Delay,weather_code_WL,Temperature_WL,Wind_Speed_WL,Distance_travelled_WL,KMT_Delay,weather_code_KMT,Temperature_KMT,Wind_Speed_KMT,Distance_travelled_KMT,BZA_Delay,weather_code_BZA,Temperature_BZA,Wind_Speed_BZA,Distance_travelled_BZA,EE_Delay,weather_code_EE,Temperature_EE,Wind_Speed_EE,Distance_travelled_EE,RJY_Delay,weather_code_RJY,Temperature_RJY,Wind_Speed_RJY,Distance_travelled_RJY,SLO_Delay,weather_code_SLO,Temperature_SLO,Wind_Speed_SLO,Distance_travelled_SLO,TUNI_Delay,weather_code_TUNI,Temperature_TUNI,Wind_Speed_TUNI,Distance_travelled_TUNI,AKP_Delay,weather_code_AKP,Temperature_AKP,Wind_Speed_AKP,Distance_travelled_AKP,DVD_Delay,weather_code_DVD,Temperature_DVD,Wind_Speed_DVD,Distance_travelled_DVD,VSKP_Delay,weather_code_VSKP,Temperature_VSKP,Wind_Speed_VSKP,Distance_travelled_VSKP
05/11/23,1.0,3.0,25.221085,12.313893,,38.0,51.0,26.486168,14.20062,,79.0,51.0,27.729502,13.722565,,46.0,53.0,26.839663,15.042659,,52.0,51.0,26.631834,15.575981,,63.0,53.0,26.643415,15.315873,,68.0,61.0,26.487253,12.6462,,62.0,61.0,26.158583,11.440978,,61.0,63.0,26.05166,8.427383,,48.0,63.0,26.019249,9.220499,,42.0,61.0,26.864244,11.609651,
06/11/23,31.0,61.0,24.535667,13.661038,,83.0,63.0,25.359087,10.799999,,96.0,63.0,26.956589,17.713316,,55.0,61.0,26.36675,15.256526,,68.0,63.0,26.088083,11.183201,,79.0,63.0,26.164253,18.171976,,80.0,63.0,25.71225,14.417988,,75.0,61.0,25.991919,13.779114,,75.0,61.0,26.50583,14.4,,67.0,61.0,26.350502,13.392774,,58.0,51.0,26.803833,16.418526,
07/11/23,0.0,63.0,23.821083,15.158522,,62.0,55.0,25.602837,11.246759,,88.0,63.0,26.160753,12.682018,,35.0,63.0,26.65425,13.363711,,57.0,65.0,25.813082,17.782686,,72.0,63.0,26.418419,15.463244,,72.0,61.0,26.247665,14.044615,,65.0,63.0,26.160667,13.849476,,58.0,63.0,26.309998,13.32,,46.0,63.0,26.081749,13.556282,,40.0,61.0,26.814253,16.862455,
08/11/23,0.0,63.0,23.914835,10.239453,,39.0,53.0,25.319504,12.783802,,59.0,55.0,26.217005,11.966954,,17.0,63.0,26.4105,10.446206,,42.0,63.0,26.256836,9.605998,,47.0,63.0,26.789248,9.007196,,49.0,51.0,26.8435,9.178235,,43.0,53.0,26.952337,11.525623,,41.0,3.0,26.772505,11.988594,,30.0,3.0,26.585915,11.753876,,20.0,51.0,27.37467,12.57426,
09/11/23,8.0,51.0,24.435669,10.948973,,50.0,3.0,25.57783,9.114471,,72.0,3.0,26.68367,8.404285,,34.0,51.0,27.470915,11.246759,,50.0,3.0,27.238083,12.864649,,65.0,3.0,27.057999,13.684735,,64.0,3.0,26.428915,12.768586,,57.0,3.0,26.0065,15.277749,,51.0,3.0,25.907919,14.81259,,40.0,3.0,25.650503,14.587776,,33.0,3.0,26.535086,15.629972,
10/11/23,4.0,3.0,24.18775,11.183201,,29.0,3.0,26.048668,9.826088,,51.0,3.0,26.419083,10.1887,,0.0,2.0,26.631332,11.252519,,17.0,3.0,26.252663,11.503113,,14.0,3.0,26.349665,14.24163,,18.0,3.0,25.770586,13.979871,,10.0,3.0,25.727335,14.88242,,3.0,3.0,25.885002,13.53236,,1.0,3.0,25.573418,12.979984,,5.0,3.0,26.76008,13.556282,
11/11/23,0.0,3.0,24.208582,10.182337,,55.0,3.0,25.819498,11.874544,,79.0,3.0,26.448256,10.390226,,42.0,3.0,26.925085,12.074766,,52.0,3.0,26.461,11.304229,,53.0,3.0,26.714249,12.0694,,61.0,3.0,26.103914,13.627795,,58.0,3.0,26.021086,14.77755,,53.0,3.0,26.089165,13.854155,,46.0,3.0,25.854662,14.689589,,32.0,3.0,26.976753,15.281989,
12/11/23,3.0,3.0,24.910667,12.475961,,43.0,3.0,26.048662,11.304229,,66.0,3.0,27.219088,13.70839,,23.0,3.0,27.504248,13.276144,,28.0,3.0,27.156836,11.609651,,26.0,3.0,27.224669,15.034041,,27.0,3.0,26.726835,15.034041,,27.0,3.0,26.61275,17.917007,,21.0,3.0,26.593332,15.629972,,11.0,3.0,26.256752,15.84409,,1.0,3.0,27.157997,16.65754,
13/11/23,0.0,3.0,24.454416,8.654986,,31.0,3.0,25.777832,8.891343,,98.0,3.0,27.308668,8.587338,,63.0,3.0,27.893835,14.934577,,53.0,3.0,27.694336,17.551615,,69.0,3.0,27.443419,19.416653,,72.0,3.0,27.166418,17.283749,,55.0,51.0,27.016914,19.734436,,65.0,3.0,26.751669,17.294992,,63.0,3.0,26.438004,18.0036,,57.0,3.0,27.033003,18.888851,
14/11/23,12.0,3.0,24.179419,11.119281,,31.0,3.0,25.690338,8.4963045,,48.0,3.0,26.917002,9.686609,,2.0,51.0,27.979246,14.689589,,2.0,3.0,27.73392,16.45007,,10.0,3.0,27.143417,20.082708,,7.0,3.0,26.791418,19.201874,,0.0,3.0,26.76275,21.046917,,0.0,3.0,26.607918,18.806337,,0.0,3.0,26.34217,20.06334,,1.0,3.0,26.95592,21.758419,
